TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Jared Arter,hasDescription,Enslaved. A Baptist preacher and temperance activist who was president of the West Virginia Industrial School Seminary and College in Hill Top.,58,60,0.6870525988173046,0.0,37,48,0.6296347738489362,0.0346101812919395
Jared Arter,hasDescriptiveOccupation,Baptist Clergy,63,65,0.6662267471091,0.0,24,33,0.4920634920634921,0.0
Jared Arter,hasDescriptiveOccupation,College / University President,63,65,0.6662267471091,0.0,32,38,0.5435853379152348,0.0
Jared Arter,hasDescriptiveOccupation,Educator,63,65,0.6662267471091,0.0,25,22,0.5520833333333334,0.0
Jared Arter,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,14,100,0.5529411764705882,0.2439557250000634
Jared Arter,hasFirstName,Jared,83,86,0.9019607843137256,0.0,27,100,0.6196078431372549,0.6348087971775132
Jared Arter,hasName,Jared Arter,78,82,0.8787878787878788,0.0,51,100,0.6142506142506142,0.7090528735856639
Jared Arter,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,14,15,0.6052083333333333,0.0
Jared Arter,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,31,57,0.5530092592592593,0.1337850929463124
Jared Arter,hasSex,Male,75,80,0.8666666666666667,0.0,20,100,0.515686274509804,0.335175743327926
Jared Arter,hasSurname,Arter,83,87,0.9047619047619048,0.0,27,100,0.6296296296296297,0.6348087971775132
Jared Arter,instance of,Person,36,37,0.5618686868686869,0.0,12,100,0.5761741122565865,0.2307679296112306
