TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Jermain Wesley Loguen,hasDescription,"Enslaved. Free before 13th Amendment. A school founder who was ordained by the AMEZ Church in 1842 and became a bishop in 1868, Loguen was also a member of the Radical Abolition Society who by his own account helped over 1,500 runaway slaves. .",58,60,0.6870525988173046,0.0,35,50,0.6439960247784944,0.1346095150333509
Jermain Wesley Loguen,hasDescriptiveOccupation,Abolitionist,63,65,0.6662267471091,0.0,27,100,0.5584395871281117,0.2596979932401624
Jermain Wesley Loguen,hasDescriptiveOccupation,African Methodist Episcopal Zion Bishop,63,65,0.6662267471091,0.0,40,100,0.5984764028242289,0.3913023742391647
Jermain Wesley Loguen,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,18,100,0.5393285371702637,0.2596979932401624
Jermain Wesley Loguen,hasFirstName,Jermain Wesley,83,86,0.9019607843137256,0.0,58,100,0.6610644257703081,0.7090528735856639
Jermain Wesley Loguen,hasName,Jermain Wesley Loguen,78,82,0.8787878787878788,0.0,76,100,0.7296918767507004,0.9266368211041917
Jermain Wesley Loguen,hasParticipantRole,Child,88,90,0.927536231884058,0.0,15,17,0.6047961630695444,0.0
Jermain Wesley Loguen,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,33,36,0.5469779764861732,0.0
Jermain Wesley Loguen,hasSex,Male,75,80,0.8666666666666667,0.0,19,100,0.6011904761904762,0.335175743327926
Jermain Wesley Loguen,hasSurname,Loguen,83,87,0.9047619047619048,0.0,30,100,0.5818713450292398,0.6348087971775132
Jermain Wesley Loguen,instance of,Person,36,37,0.5774410774410774,0.0,25,22,0.5818713450292398,0.0
