TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
John Horse,hasDescription,Enslaved. Free before 13th Amendment. Organized an exodus in 1850 of about 300 Black Seminoles and Native Americans who risked being enslaved.,41,42,0.5973443223443223,0.0,0,0,0.0,0.0
John Horse,hasDescriptiveOccupation,American Indian Leader,42,50,0.5976608187134502,0.0,0,0,0.0,0.0
John Horse,hasDescriptiveOccupation,Slave,42,50,0.5976608187134502,0.0,0,0,0.0,0.0
John Horse,hasFirstName,John,27,27,0.5111111111111111,0.0,0,0,0.0,0.0
John Horse,hasName,John Horse,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
John Horse,hasParticipantRole,Child,62,62,0.688888888888889,0.0,0,0,0.0,0.0
John Horse,hasParticipantRole,Deceased Person,62,62,0.688888888888889,0.0,0,0,0.0,0.0
John Horse,hasSex,Male,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
John Horse,hasSurname,Horse,27,36,0.5102292768959436,0.0,0,0,0.0,0.0
John Horse,instance of,Person,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
