TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Lewis Temple,hasDescription,"Unknown  Status at Birth, free Before 13th Amendment.",58,60,0.6870525988173046,0.0,33,37,0.632596128084233,0.0
Lewis Temple,hasDescriptiveOccupation,Abolitionist,63,65,0.6662267471091,0.0,28,100,0.5114478114478115,0.2789425453258252
Lewis Temple,hasDescriptiveOccupation,Blacksmith,63,65,0.6662267471091,0.0,18,100,0.568693009118541,0.2097553962782169
Lewis Temple,hasDescriptiveOccupation,Inventor,63,65,0.6662267471091,0.0,20,100,0.5686026936026937,0.2789425453258252
Lewis Temple,hasFirstName,Lewis,83,86,0.9019607843137256,0.0,33,100,0.6,0.7092972666062738
Lewis Temple,hasName,Lewis Temple,78,82,0.8787878787878788,0.0,65,100,0.6877777777777778,0.8955324150715727
Lewis Temple,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,20,23,0.618018018018018,0.0
Lewis Temple,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,27,100,0.5345798409628196,0.161713780662529
Lewis Temple,hasSex,Male,75,80,0.8666666666666667,0.0,24,100,0.5873493975903614,0.3799783615910079
Lewis Temple,hasSurname,Temple,83,87,0.9047619047619048,0.0,39,100,0.6222222222222222,0.7092972666062738
Lewis Temple,instance of,Person,36,37,0.5618686868686869,0.0,15,100,0.5825825825825826,0.2789425453258252
