TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
London Ferebee,hasDescription,"Enslaved. Free before 13th Amendment. Though unsuccessful when running for election in North Carolina (and even briefly jailed on charges of forging school vouchers, in spite of a lack of evidence), Ferebee remained interested in politics and active as a minister.",58,60,0.6870525988173046,0.0,34,45,0.6345925831147506,0.0886781766631987
London Ferebee,hasDescriptiveOccupation,African Methodist Episcopal Clergy,63,65,0.6662267471091,0.0,24,34,0.5121381886087768,0.0
London Ferebee,hasDescriptiveOccupation,Educator,63,65,0.6662267471091,0.0,16,28,0.5525510204081633,0.0
London Ferebee,hasDescriptiveOccupation,Freedman / Freedwoman,63,65,0.6662267471091,0.0,43,45,0.5942460317460317,0.0
London Ferebee,hasDescriptiveOccupation,Sailor (Navy),63,65,0.6662267471091,0.0,25,33,0.5195054945054945,0.0
London Ferebee,hasFirstName,London,83,86,0.9019607843137256,0.0,29,100,0.7238095238095239,0.7092972666062738
London Ferebee,hasName,London Ferebee,78,82,0.8787878787878788,0.0,57,100,0.6614401858304298,0.8955324150715727
London Ferebee,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,12,22,0.6054421768707483,0.0
London Ferebee,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,31,57,0.5916305916305916,0.2746117864358066
London Ferebee,hasSex,Male,75,80,0.8666666666666667,0.0,21,100,0.5190476190476191,0.3799783615910079
London Ferebee,hasSurname,Ferebee,83,87,0.9047619047619048,0.0,33,100,0.6875,0.7092972666062738
London Ferebee,instance of,Person,36,37,0.5618686868686869,0.0,16,100,0.5823232323232324,0.4736820224661604
