TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Lott Cary,hasDescription,"Enslaved. Free before 13th Amendment. A Baptist preacher who served as a missionary in Liberia and in 1828 was appointed acting governor of the more than 1,200 settlers.",58,60,0.6870525988173046,0.0,45,62,0.6305667794945781,0.1916037258257552
Lott Cary,hasDescriptiveOccupation,Baptist Clergy,63,65,0.6662267471091,0.0,39,67,0.5896103896103896,0.1166403339440506
Lott Cary,hasDescriptiveOccupation,Missionary,63,65,0.6662267471091,0.0,31,100,0.5421356421356421,0.2011946755849157
Lott Cary,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,19,30,0.5454106280193236,0.0
Lott Cary,hasFirstName,Lott,83,86,0.9019607843137256,0.0,31,100,0.7272727272727272,0.7092972666062738
Lott Cary,hasName,Lott Cary,78,82,0.8787878787878788,0.0,58,100,0.6919191919191919,0.8955324150715727
Lott Cary,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,12,28,0.6096618357487923,0.0
Lott Cary,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,33,57,0.5354037267080746,0.161713780662529
Lott Cary,hasSex,Male,75,80,0.8666666666666667,0.0,26,100,0.5946969696969697,0.3799783615910079
Lott Cary,hasSurname,Cary,83,87,0.9047619047619048,0.0,31,100,0.625,0.7092972666062738
Lott Cary,instance of,Person,36,37,0.5774410774410774,0.0,19,100,0.5906432748538011,0.2789425453258252
