TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Robert Smalls,hasDescription,"Enslaved. A ship pilot during the Civil War who became a businessman, and landowner who served five terms in the U.S. House of Representatives, beginning in 1874.",58,60,0.6870525988173046,0.0,35,47,0.6280864197530863,0.2447718059005592
Robert Smalls,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,22,100,0.5518518518518518,0.2195109508086083
Robert Smalls,hasDescriptiveOccupation,U.S. Representative,63,65,0.6662267471091,0.0,28,33,0.5187134502923977,0.0
Robert Smalls,hasFirstName,Robert,83,86,0.9019607843137256,0.0,38,100,0.6338383838383838,0.7092972666062738
Robert Smalls,hasName,Robert Smalls,78,82,0.8787878787878788,0.0,67,100,0.6794871794871794,0.8955324150715727
Robert Smalls,hasParticipantRole,Child,88,90,0.927536231884058,0.0,13,18,0.5555555555555555,0.0
Robert Smalls,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,33,57,0.538045634920635,0.1757860783933462
Robert Smalls,hasSex,Male,75,80,0.8666666666666667,0.0,23,100,0.5964912280701754,0.3799783615910079
Robert Smalls,hasSurname,Smalls,83,87,0.9047619047619048,0.0,38,100,0.6055555555555555,0.7092972666062738
Robert Smalls,instance of,Person,36,37,0.5774410774410774,0.0,19,100,0.5873015873015873,0.3032160644503863
