TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Solomon Bayley,hasDescription,"Born Enslaved. Free before 13th Amendment. A former slave and abolitionist speaker whose experiences were recorded in Narrative of Some Remarkable Incidents in the Life of Solomon Bayley, Formerly a Slave, in the State of Delaware, North America, Bayley later immigrated to Liberia with his wife.",58,60,0.6870525988173046,0.0,29,76,0.5450893926011174,0.1751842701126319
Solomon Bayley,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,25,100,0.5531746031746031,0.2439557250000634
Solomon Bayley,hasDescriptiveOccupation,Slave Narrative Author,63,65,0.6662267471091,0.0,36,71,0.5942760942760943,0.2521387069452626
Solomon Bayley,hasFirstName,Solomon,83,86,0.9019607843137256,0.0,41,100,0.7530864197530865,0.7092972666062738
Solomon Bayley,hasName,Solomon Bayley,78,82,0.8787878787878788,0.0,68,100,0.7204585537918872,0.8955324150715727
Solomon Bayley,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,16,18,0.6100250626566416,0.0
Solomon Bayley,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,31,57,0.5009575220101535,0.161713780662529
Solomon Bayley,hasSex,Male,75,80,0.8666666666666667,0.0,22,100,0.5952380952380952,0.3799783615910079
Solomon Bayley,hasSurname,Bayley,83,87,0.9047619047619048,0.0,36,100,0.6031746031746031,0.7092972666062738
Solomon Bayley,instance of,Person,36,37,0.5774410774410774,0.0,18,100,0.5878136200716845,0.2789425453258252
