TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Stephen Bishop,hasDescription,Enslaved. Free before 13th Amendment. Enslaved as a guide in Mammoth Caves who had extensive knowledge of the underground cave system.,58,60,0.6870525988173046,0.0,35,55,0.6075744423860402,0.2042691937033617
Stephen Bishop,hasDescriptiveOccupation,Cartographer,63,65,0.6662267471091,0.0,29,34,0.5396825396825397,0.0
Stephen Bishop,hasDescriptiveOccupation,Guide,63,65,0.6662267471091,0.0,11,100,0.5506944444444444,0.1936032468785861
Stephen Bishop,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,16,21,0.5483483483483483,0.0
Stephen Bishop,hasFirstName,Stephen,83,86,0.9019607843137256,0.0,41,100,0.6443452380952381,0.7092972666062738
Stephen Bishop,hasName,Stephen Bishop,78,82,0.8787878787878788,0.0,68,100,0.7204585537918872,0.8955324150715727
Stephen Bishop,hasParticipantRole,Child,88,90,0.927536231884058,0.0,16,13,0.6138888888888889,0.0
Stephen Bishop,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,29,57,0.5501984126984126,0.1540155221466841
Stephen Bishop,hasSex,Male,75,80,0.8666666666666667,0.0,22,100,0.59375,0.3799783615910079
Stephen Bishop,hasSurname,Bishop,83,87,0.9047619047619048,0.0,36,100,0.5763888888888888,0.7092972666062738
Stephen Bishop,instance of,Person,36,37,0.5618686868686869,0.0,18,100,0.5763888888888888,0.2656637028166193
