TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Thomas Fuller,hasDescription,Enslaved. A prodigy at mental math.,58,60,0.6870525988173046,0.0,29,37,0.5832451499118166,0.030164130533022
Thomas Fuller,hasDescriptiveOccupation,Mathematician,63,65,0.6662267471091,0.0,25,31,0.5223776223776224,0.0
Thomas Fuller,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,22,22,0.6074074074074074,0.0
Thomas Fuller,hasFirstName,Thomas,83,86,0.9019607843137256,0.0,38,100,0.6111111111111112,0.7092972666062738
Thomas Fuller,hasName,Thomas Fuller,78,82,0.8787878787878788,0.0,67,100,0.7051282051282052,0.8955324150715727
Thomas Fuller,hasParticipantRole,Child,88,90,0.927536231884058,0.0,15,16,0.6061443932411675,0.0
Thomas Fuller,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,31,34,0.5172999839666507,0.0
Thomas Fuller,hasSex,Male,75,80,0.8666666666666667,0.0,23,100,0.5976190476190476,0.3799783615910079
Thomas Fuller,hasSurname,Fuller,83,87,0.9047619047619048,0.0,38,100,0.6396825396825396,0.7092972666062738
Thomas Fuller,instance of,Person,36,37,0.5618686868686869,0.0,21,29,0.5947712418300654,0.0
