TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Thomas Lewis Johnson,hasDescription,"Born Enslaved. A Baptist preacher and author who was a missionary in Cameroon, and worked and raised money for missionary purposes in both the U.S. and Great Britain.",58,60,0.6870525988173046,0.0,38,43,0.667135031198837,0.0151664253175031
Thomas Lewis Johnson,hasDescriptiveOccupation,Baptist Clergy,63,65,0.6662267471091,0.0,26,28,0.5871758959994254,0.0
Thomas Lewis Johnson,hasDescriptiveOccupation,Missionary,63,65,0.6662267471091,0.0,17,26,0.5739651416122005,0.0
Thomas Lewis Johnson,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,18,21,0.5415032679738562,0.0
Thomas Lewis Johnson,hasDescriptiveOccupation,Slave Narrative Author,63,65,0.6662267471091,0.0,25,36,0.5427115987460814,0.0
Thomas Lewis Johnson,hasFirstName,Thomas Lewis,83,86,0.9019607843137256,0.0,43,59,0.5886304909560723,0.368023208756115
Thomas Lewis Johnson,hasName,Thomas Lewis Johnson,78,82,0.8787878787878788,0.0,41,44,0.549404761904762,0.2853061909813608
Thomas Lewis Johnson,hasParticipantRole,Child,88,90,0.927536231884058,0.0,15,21,0.6347222222222223,0.0
Thomas Lewis Johnson,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,29,31,0.5501984126984126,0.0
Thomas Lewis Johnson,hasSex,Male,75,80,0.8666666666666667,0.0,19,100,0.5970319634703196,0.335175743327926
Thomas Lewis Johnson,hasSurname,Johnson,83,87,0.9047619047619048,0.0,15,16,0.5353337682104805,0.0
Thomas Lewis Johnson,instance of,Person,36,37,0.5618686868686869,0.0,15,14,0.5829528158295281,0.0
