TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Thomas Peters,hasDescription,"Enslaved. Free before 13th Amendment. A West African-born Loyalist who was resettled to Nova Scotia after the Revolutionary War, Peters traveled to London in 1790 to petition the resettlement of Nova Scotia blacks to West Africa. 1200 individuals joined Peters in migrating to Sierra Leone.",58,60,0.6870525988173046,0.0,27,36,0.5167613995200201,0.1042917444158411
Thomas Peters,hasDescriptiveOccupation,Fugitive Slave,63,65,0.6662267471091,0.0,25,30,0.5010822510822511,0.0
Thomas Peters,hasDescriptiveOccupation,Loyalist (American Revolution),63,65,0.6662267471091,0.0,36,39,0.592929292929293,0.0
Thomas Peters,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,17,19,0.4818181818181818,0.0
Thomas Peters,hasFirstName,Thomas,83,86,0.9019607843137256,0.0,32,100,0.6043360433604336,0.4285693450091423
Thomas Peters,hasName,Thomas Peters,78,82,0.8787878787878788,0.0,59,100,0.6526054590570719,0.7090528735856639
Thomas Peters,hasParticipantRole,Child,47,48,0.6504629629629629,0.0,10,14,0.4821705426356589,0.0
Thomas Peters,hasParticipantRole,Deceased Person,47,48,0.6504629629629629,0.0,35,48,0.5351851851851852,0.0
Thomas Peters,hasSex,Male,75,80,0.8666666666666667,0.0,20,100,0.521505376344086,0.335175743327926
Thomas Peters,hasSurname,Peters,83,87,0.9047619047619048,0.0,32,100,0.5955555555555555,0.6348087971775132
Thomas Peters,instance of,Person,36,37,0.5618686868686869,0.0,22,30,0.5955555555555555,0.0
