TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Timothy Thomas Fortune,hasDescription,"Enslaved. A prominent journalist who was affiliated with Booker T. Washington. Among other causes, he called for use of the term ""Afro-American"".",58,60,0.6870525988173046,0.0,37,55,0.6414603595638079,0.1136841339329532
Timothy Thomas Fortune,hasDescriptiveOccupation,Civil Rights Activist,63,65,0.6662267471091,0.0,26,73,0.5380952380952381,0.2150703257057707
Timothy Thomas Fortune,hasDescriptiveOccupation,Newspaper Editor / Publisher,63,65,0.6662267471091,0.0,32,76,0.5355848861283644,0.2150703257057707
Timothy Thomas Fortune,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,13,17,0.5472222222222222,0.0
Timothy Thomas Fortune,hasFirstName,Timothy Thomas,83,86,0.9019607843137256,0.0,57,100,0.6333333333333333,0.7090528735856639
Timothy Thomas Fortune,hasName,Timothy Thomas Fortune,78,82,0.8787878787878788,0.0,77,100,0.7246753246753247,0.9266368211041917
Timothy Thomas Fortune,hasParticipantRole,Child,47,48,0.6597643097643098,0.0,13,11,0.6111111111111112,0.0
Timothy Thomas Fortune,hasParticipantRole,Deceased Person,47,48,0.6597643097643098,0.0,28,57,0.5111111111111111,0.1166403339440506
Timothy Thomas Fortune,hasSex,Male,75,80,0.8666666666666667,0.0,18,100,0.5860544217687075,0.335175743327926
Timothy Thomas Fortune,hasSurname,Fortune,83,87,0.9047619047619048,0.0,33,100,0.564039408866995,0.6348087971775132
Timothy Thomas Fortune,instance of,Person,36,37,0.5774410774410774,0.0,20,100,0.5722222222222223,0.2011946755849157
