TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Henry Harrison Heard,hasDescription,"Born Enslaved. A teacher who in 1876 was elected to the South Carolina Senate but did not serve past 1877 because of the end of Reconstruction and spent his later years as an A.M.E. minister, including as U.S. minister to Liberia.",58,60,0.6870525988173046,0.0,38,47,0.693607902564158,0.1550018547742541
William Henry Harrison Heard,hasDescriptiveOccupation,African Methodist Episcopal Clergy,63,65,0.6662267471091,0.0,30,35,0.6043720062089916,0.0
William Henry Harrison Heard,hasDescriptiveOccupation,Diplomat,63,65,0.6662267471091,0.0,27,38,0.5273809523809524,0.0
William Henry Harrison Heard,hasDescriptiveOccupation,Educator,63,65,0.6662267471091,0.0,13,19,0.5477969348659003,0.0
William Henry Harrison Heard,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,32,33,0.5398184176394293,0.0
William Henry Harrison Heard,hasDescriptiveOccupation,State Legislator,63,65,0.6662267471091,0.0,33,48,0.5505952380952381,0.0656265134396471
William Henry Harrison Heard,hasFirstName,William Henry Harrison,83,86,0.9019607843137256,0.0,58,74,0.6432733932733933,0.5029292651136352
William Henry Harrison Heard,hasName,William Henry Harrison Heard,78,82,0.8787878787878788,0.0,67,86,0.71321361565264,0.7195469560601188
William Henry Harrison Heard,hasParticipantRole,Child,62,62,0.688888888888889,0.0,21,22,0.6256410256410256,0.0
William Henry Harrison Heard,hasParticipantRole,Deceased Person,62,62,0.688888888888889,0.0,25,33,0.5379754417490267,0.0
William Henry Harrison Heard,hasSex,Male,75,80,0.8666666666666667,0.0,33,100,0.5974178403755869,0.335175743327926
William Henry Harrison Heard,hasSurname,Heard,83,87,0.9047619047619048,0.0,24,100,0.6320512820512821,0.6348087971775132
William Henry Harrison Heard,instance of,Person,36,37,0.5774410774410774,0.0,11,21,0.616501946690626,0.0
