TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Henry Singleton,hasDescription,"Enslaved. A sergeant in the First North Carolina Colored Regiment (later called the Thirty-fifth Regiment, U.S. Colored Troops) who became a coachman and traveling Methodist minister after the war.",58,60,0.6870525988173046,0.0,42,60,0.6925671382105262,0.285776273895968
William Henry Singleton,hasDescriptiveOccupation,African Methodist Episcopal Clergy,63,65,0.6662267471091,0.0,36,89,0.5749299719887956,0.3083759795668618
William Henry Singleton,hasDescriptiveOccupation,Domestic Servant,63,65,0.6662267471091,0.0,27,29,0.551984930274404,0.0
William Henry Singleton,hasDescriptiveOccupation,Freedman / Freedwoman,63,65,0.6662267471091,0.0,26,32,0.5361344537815126,0.0
William Henry Singleton,hasDescriptiveOccupation,Fugitive Slave,63,65,0.6662267471091,0.0,32,53,0.5218253968253969,0.1015285240384221
William Henry Singleton,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,17,100,0.5506944444444444,0.1751280861929285
William Henry Singleton,hasDescriptiveOccupation,Union Army Officer,63,65,0.6662267471091,0.0,26,38,0.5111111111111111,0.0
William Henry Singleton,hasFirstName,William Henry,83,86,0.9019607843137256,0.0,53,100,0.6588319088319089,0.7090528735856639
William Henry Singleton,hasName,William Henry Singleton,78,82,0.8787878787878788,0.0,78,100,0.749194847020934,0.9266368211041917
William Henry Singleton,hasParticipantRole,Child,88,90,0.927536231884058,0.0,15,100,0.6138888888888889,0.0713271325243147
William Henry Singleton,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,31,57,0.5241315850011502,0.1337850929463124
William Henry Singleton,hasSex,Male,75,80,0.8666666666666667,0.0,18,100,0.5881642512077295,0.335175743327926
William Henry Singleton,hasSurname,Singleton,83,87,0.9047619047619048,0.0,40,100,0.607085346215781,0.6348087971775132
William Henry Singleton,instance of,Person,36,37,0.5774410774410774,0.0,19,100,0.5763888888888888,0.2307679296112306
