TSV Subject,TSV Predicate,TSV Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Hooper Councill,hasDescription,"Enslaved. First principal of the State Normal and Industrial School in Huntsville, Alabama and a Democrat who took an accommodationist approach.",58,60,0.6870525988173046,0.0,39,57,0.6903657407407408,0.1878624103557025
William Hooper Councill,hasDescriptiveOccupation,Educational Institution Official,63,65,0.6662267471091,0.0,30,40,0.5487791218637993,0.0
William Hooper Councill,hasDescriptiveOccupation,Slave,63,65,0.6662267471091,0.0,17,100,0.5420138888888889,0.1437280572311071
William Hooper Councill,hasFirstName,William Hooper,83,86,0.9019607843137256,0.0,56,100,0.6534391534391534,0.7090528735856639
William Hooper Councill,hasName,William Hooper Councill,78,82,0.8787878787878788,0.0,78,100,0.7926731078904993,0.9266368211041917
William Hooper Councill,hasParticipantRole,Child,88,90,0.927536231884058,0.0,15,22,0.6057720057720059,0.0
William Hooper Councill,hasParticipantRole,Deceased Person,88,90,0.927536231884058,0.0,31,57,0.5217893217893218,0.1505569696020495
William Hooper Councill,hasSex,Male,75,80,0.8666666666666667,0.0,18,100,0.5885416666666666,0.335175743327926
William Hooper Councill,hasSurname,Councill,83,87,0.9047619047619048,0.0,36,100,0.57542194092827,0.6348087971775132
William Hooper Councill,instance of,Person,36,37,0.5774410774410774,0.0,19,100,0.580872011251758,0.2596979932401624
