TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Elisha Winfield Green,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Elisha Winfield Green,instance of,Person,1. has_Name,"has_Name(Elisha Winfield Green, ""Elisha Winfield Green"")",27,29,0.404040404040404,0.0,13,22,0.41269841269841273,0.0
Elisha Winfield Green,instance of,Person,2. has_Surname,"has_Surname(Elisha Winfield Green, ""Green"")",24,25,0.47056277056277057,0.0,12,21,0.5032299741602068,0.0
Elisha Winfield Green,instance of,Person,3. has_First_Name,"has_First_Name(Elisha Winfield Green, ""Elisha"").",36,37,0.3719548425430778,0.0,11,19,0.5,0.0
Elisha Winfield Green,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Elisha Winfield Green,instance of,Person,1. has_Sex,"has_Sex(Elisha Winfield Green, ""Male"").",19,20,0.41313131313131307,0.0,13,20,0.41452991452991456,0.0
Elisha Winfield Green,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Elisha Winfield Green,instance of,Person,1. has_Occupation,"has_Occupation(Elisha Winfield Green, ""Slave, Baptist leader, Moderator of the Consolidated Baptist Educational Association, Preacher, Owner of a whitewashing business, Vice president of the Kentucky Negro Republican Party"").",21,22,0.5162210338680927,0.0,5,6,0.4851851851851852,0.0
Elisha Winfield Green,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Elisha Winfield Green,instance of,Person,1. has_Age,"has_Age(Elisha Winfield Green, 78)",19,30,0.41313131313131307,0.0,15,21,0.41830065359477125,0.0
