TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Amanda America Dickson,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasNameVariant,"hasNameVariant(Amanda Smith, ""Amanda Smith"")",21,22,0.4496434937611408,0.0,12,18,0.5025252525252525,0.0
Amanda America Dickson,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Amanda Smith, ""Amanda Smith"")",16,17,0.4822843822843823,0.0,14,19,0.5758909853249476,0.0
Amanda America Dickson,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Amanda Smith, ""Amanda Smith"")",20,28,0.35805422647527907,0.0,10,19,0.49646464646464644,0.0
Amanda America Dickson,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Amanda Smith, ""Smith"")",25,26,0.43088023088023086,0.0,11,18,0.4988888888888889,0.0
Amanda America Dickson,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Amanda Smith, ""Amanda"")",29,30,0.5040466779597215,0.0,10,17,0.49737945492662466,0.0
Amanda America Dickson,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasDescription,"hasDescription(Amanda Smith, ""Born enslaved, Amanda Smith became a Methodist preacher and founder of the Amanda Smith Orphanage and Industrial Home for Abandoned and Destitute Colored Children in Chicago. She played a significant role in the Wesleyan-Holiness movement and preached the doctrine of entire sanctification at Methodist camp meetings worldwide."")",21,22,0.5772430184194891,0.0,3,4,0.549086969978335,0.0
Amanda America Dickson,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Amanda Smith, ""Long Green, Maryland"")",29,41,0.4998196248196248,0.0,15,17,0.5894538606403014,0.0
Amanda America Dickson,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. has_Race,"has_Race(Amanda Smith, ""African-American"")",36,38,0.49242424242424243,0.0,12,14,0.41269841269841273,0.0
Amanda America Dickson,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Amanda Smith, 78)",24,25,0.46645021645021645,0.0,14,10,0.4152046783625731,0.0
Amanda America Dickson,instance of,Person,2. hasBirthDate,"hasBirthDate(Amanda Smith, ""January 23, 1837"")",31,32,0.3767676767676768,0.0,8,13,0.501207729468599,0.0
Amanda America Dickson,instance of,Person,3. hasDeathDate,"hasDeathDate(Amanda Smith, ""February 24, 1915"")",31,32,0.46262626262626255,0.0,8,12,0.41016548463356967,0.0
Amanda America Dickson,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasSex,"hasSex(Amanda Smith, ""Female"")",20,21,0.42424242424242414,0.0,11,12,0.4222222222222222,0.0
Amanda America Dickson,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Amanda Smith, ""father buying her and her family's freedom, becoming a preacher"")",27,28,0.4809634809634809,0.0,9,8,0.40170940170940167,0.0
Amanda America Dickson,instance of,Person,2. hasValue,"hasValue(Amanda Smith, ""Free Person, Preacher"")",27,29,0.404040404040404,0.0,23,100,0.41016548463356967,0.3032160644503863
Amanda America Dickson,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasValue,"hasValue(Amanda Smith, ""Methodist Preacher, Founder of the Amanda Smith Orphanage and Industrial Home for Abandoned and Destitute Colored Children in Chicago"")",27,29,0.404040404040404,0.0,7,7,0.5681341719077567,0.0
Amanda America Dickson,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Amanda Smith, ""Enslaver or Owner"")",23,33,0.5340909090909091,0.0,14,15,0.5038194444444445,0.0
Amanda America Dickson,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Amanda Smith, ""Her Father"")",33,34,0.5494417862838915,0.0,16,22,0.5025252525252525,0.0
Amanda America Dickson,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Her Father, ""Amanda Smith"")",31,32,0.536075036075036,0.0,15,21,0.5140096618357488,0.0
Amanda America Dickson,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Amanda America Dickson,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Amanda Smith, ""Leader"")",28,29,0.5574242424242425,0.0,15,17,0.5990338164251208,0.0
Amanda America Dickson,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Amanda Smith, ""Wesleyan-Holiness movement, Methodist camp meetings worldwide"")",14,15,0.3719548425430778,0.0,10,11,0.521505376344086,0.0
