TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Callie Delphia House,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Callie Delphia House,instance of,Person,1. hasNameVariant,"hasNameVariant(Callie House, ""Callie House"")",21,22,0.4496434937611408,0.0,16,18,0.5156565656565656,0.0
Callie Delphia House,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Callie House, ""Callie House"")",16,17,0.4822843822843823,0.0,17,19,0.5758909853249476,0.0
Callie Delphia House,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Callie House, ""Callie House"")",20,28,0.35805422647527907,0.0,13,19,0.49646464646464644,0.0
Callie Delphia House,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Callie House, ""House"")",25,26,0.43088023088023086,0.0,14,23,0.4988888888888889,0.0
Callie Delphia House,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Callie House, ""Callie"")",29,30,0.5040466779597215,0.0,10,22,0.49737945492662466,0.0
Callie Delphia House,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Callie Delphia House,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Callie House, ""Rutherford County, Tennessee"")",29,41,0.4998196248196248,0.0,16,15,0.5854063018242123,0.0
Callie Delphia House,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Callie Delphia House,instance of,Person,1. has_Race,"has_Race(Callie House, ""African-American"")",36,38,0.49242424242424243,0.0,12,18,0.41269841269841273,0.0
Callie Delphia House,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Callie Delphia House,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Callie House, 67)",24,25,0.46645021645021645,0.0,14,15,0.4152046783625731,0.0
Callie Delphia House,instance of,Person,2. hasBirthDate,"hasBirthDate(Callie House, ""1861"")",31,32,0.3767676767676768,0.0,10,17,0.41830065359477125,0.0
Callie Delphia House,instance of,Person,3. hasDeathDate,"hasDeathDate(Callie House, ""1928"")",31,32,0.46262626262626255,0.0,10,17,0.2973856209150327,0.0
Callie Delphia House,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Callie Delphia House,instance of,Person,1. hasSex,"hasSex(Callie House, ""Female"")",20,21,0.42424242424242414,0.0,11,19,0.4222222222222222,0.0
Callie Delphia House,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Callie Delphia House,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Callie House, ""marriage, death of husband, work as a washerwoman, imprisonment"")",27,28,0.4809634809634809,0.0,9,12,0.4938034188034188,0.0
Callie Delphia House,instance of,Person,2. hasValue,"hasValue(Callie House, ""Enslaved, Free, Leader"")",27,29,0.404040404040404,0.0,11,17,0.5,0.0
