TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Crispus Attucks,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Crispus Attucks,instance of,Person,1. hasNameVariant,"hasNameVariant(Crispus Attucks, ""Crispus Attucks"")",21,22,0.4496434937611408,0.0,11,22,0.4988888888888889,0.0
Crispus Attucks,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Crispus Attucks, ""Crispus Attucks"")",16,17,0.4822843822843823,0.0,12,18,0.5726930320150659,0.0
Crispus Attucks,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Crispus Attucks, ""Crispus Attucks"")",20,28,0.35805422647527907,0.0,9,22,0.49408014571948994,0.0
Crispus Attucks,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Crispus Attucks, ""Attucks"")",25,26,0.43088023088023086,0.0,10,21,0.49646464646464644,0.0
Crispus Attucks,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Crispus Attucks, ""Crispus"")",29,30,0.5040466779597215,0.0,10,20,0.49561403508771934,0.0
Crispus Attucks,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Crispus Attucks,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Crispus Attucks, ""Framingham, Massachusetts"")",29,41,0.4998196248196248,0.0,14,18,0.5854063018242123,0.0
Crispus Attucks,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Crispus Attucks,instance of,Person,1. has_Race,"has_Race(Crispus Attucks, ""African and Native American descent"")",36,38,0.49242424242424243,0.0,11,12,0.4930555555555555,0.0
Crispus Attucks,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Crispus Attucks,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Crispus Attucks, 47)",24,25,0.46645021645021645,0.0,13,14,0.4132791327913279,0.0
Crispus Attucks,instance of,Person,2. hasBirthDate,"hasBirthDate(Crispus Attucks, ""around 1723"")",31,32,0.3767676767676768,0.0,20,13,0.4116161616161616,0.0
