TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Harriet Evans,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasNameVariant,"hasNameVariant(Harriet Evans Paine, ""Harriet Evans Paine"")",21,22,0.4496434937611408,0.0,16,20,0.4952107279693487,0.0
Harriet Evans,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Harriet Evans Paine, ""Aunt Harriet"")",16,17,0.4822843822843823,0.0,15,15,0.5722222222222223,0.0
Harriet Evans,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Harriet Evans Paine, ""Harriet Evans Paine"")",20,28,0.35805422647527907,0.0,13,16,0.4915458937198068,0.0
Harriet Evans,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Harriet Evans Paine, ""Paine"")",25,26,0.43088023088023086,0.0,13,16,0.49561403508771934,0.0
Harriet Evans,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Harriet Evans Paine, ""Harriet"")",29,30,0.5040466779597215,0.0,12,15,0.49408014571948994,0.0
Harriet Evans,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasDescription,"hasDescription(Harriet Evans Paine, ""Born into slavery, became free after the emancipation of slaves in 1865. Occupations included being a 'thimble girl', a servant, and an oral historian. Preserved the Hardin family's history by saving their letters and documents from a fire in 1916."")",21,22,0.5772430184194891,0.0,4,5,0.5625241966705382,0.0
Harriet Evans,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Harriet Evans Paine, ""Tennessee"")",29,41,0.4998196248196248,0.0,16,21,0.591919191919192,0.0
Harriet Evans,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. has_Race,"has_Race(Harriet Evans Paine, ""African-American"")",36,38,0.49242424242424243,0.0,15,16,0.5784580498866213,0.0
Harriet Evans,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Harriet Evans Paine, 95)",24,25,0.46645021645021645,0.0,16,17,0.5018518518518519,0.0
Harriet Evans,instance of,Person,2. hasBirthDate,"hasBirthDate(Harriet Evans Paine, ""1822"")",31,32,0.3767676767676768,0.0,17,19,0.5047425474254742,0.0
Harriet Evans,instance of,Person,3. hasDeathDate,"hasDeathDate(Harriet Evans Paine, ""1917"")",31,32,0.46262626262626255,0.0,17,19,0.5047425474254742,0.0
Harriet Evans,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasSex,"hasSex(Harriet Evans Paine, ""Female"")",20,21,0.42424242424242414,0.0,19,21,0.5082582582582583,0.0
Harriet Evans,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Harriet Evans Paine, ""birth into slavery, emancipation of slaves in 1865"")",27,28,0.4809634809634809,0.0,12,12,0.49478458049886626,0.0
Harriet Evans,instance of,Person,2. hasValue,"hasValue(Harriet Evans Paine, ""Enslaved, Free Person"")",27,29,0.404040404040404,0.0,20,100,0.5753086419753086,0.2789425453258252
Harriet Evans,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasValue,"hasValue(Harriet Evans Paine, ""Thimble Girl, Servant, Oral Historian"")",27,29,0.404040404040404,0.0,16,14,0.5682539682539683,0.0
Harriet Evans,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Harriet Evans Paine, ""Parent, Owner, Father of Children"")",23,33,0.5340909090909091,0.0,11,11,0.49693486590038316,0.0
Harriet Evans,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Harriet Evans Paine, ""Jim Evans, Rebecca Evans, Swan Hardin, Jerusha Hardin, Henry Rowe, Mr. Green"")",33,34,0.5494417862838915,0.0,10,13,0.5726495726495727,0.0
Harriet Evans,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Jim Evans, Rebecca Evans, Swan Hardin, Jerusha Hardin, Henry Rowe, Mr. Green, ""Harriet Evans Paine"")",31,32,0.536075036075036,0.0,8,12,0.49178338001867417,0.0
Harriet Evans,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Harriet Evans Paine, ""Preserver"")",28,29,0.5574242424242425,0.0,16,17,0.5912698412698413,0.0
Harriet Evans,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Harriet Evans Paine, ""Saving of Hardin family's letters and documents from a fire in 1916"")",14,15,0.3719548425430778,0.0,11,9,0.5188679245283019,0.0
Harriet Evans,hasName,Harriet Evans,Name Record Module,,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasNameVariant,"hasNameVariant(Harriet Evans Paine, ""Harriet Evans Paine"")",58,61,0.8039215686274509,0.0,37,100,0.5875331564986737,0.6689625304957969
Harriet Evans,hasName,Harriet Evans,2. hasPreferredNameVariant,"hasPreferredNameVariant(Harriet Evans Paine, ""Aunt Harriet"")",42,44,0.6611721611721612,0.0,36,100,0.5850427350427351,0.6417645565491049
Harriet Evans,hasName,Harriet Evans,3. fullNameAsString,"string): fullNameAsString(Harriet Evans Paine, ""Harriet Evans Paine"")",31,32,0.5106516290726817,0.0,32,100,0.6012634708286883,0.6348087971775132
Harriet Evans,hasName,Harriet Evans,4. hasSurnameAsString,"string): hasSurnameAsString(Harriet Evans Paine, ""Paine"")",43,52,0.7142857142857143,0.0,37,100,0.5148897885739991,0.3799783615910079
Harriet Evans,hasName,Harriet Evans,5. hasFirstnameAsString,"string): hasFirstnameAsString(Harriet Evans Paine, ""Harriet"")",40,48,0.7060041407867494,0.0,35,100,0.5110550651534258,0.6417645565491049
Harriet Evans,hasName,Harriet Evans,Description Module,,16,32,0.2989417989417989,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasDescription,"hasDescription(Harriet Evans Paine, ""Born into slavery, became free after the emancipation of slaves in 1865. Occupations included being a 'thimble girl', a servant, and an oral historian. Preserved the Hardin family's history by saving their letters and documents from a fire in 1916."")",33,35,0.6022408963585434,0.0,9,100,0.5535602608773341,0.14833958892770577
Harriet Evans,hasName,Harriet Evans,Origin Record Module,,7,15,0.3976190476190476,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Harriet Evans Paine, ""Tennessee"")",19,20,0.4067460317460318,0.0,38,100,0.5916083916083915,0.5023287782256718
Harriet Evans,hasName,Harriet Evans,Race Record Module,,16,16,0.4656084656084656,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. has_Race,"has_Race(Harriet Evans Paine, ""African-American"")",56,59,0.7229437229437229,0.0,42,100,0.6012558869701726,0.4494364165239822
Harriet Evans,hasName,Harriet Evans,Age Record Module,,8,25,0.4005602240896358,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasAgeValue,"double): hasAgeValue(Harriet Evans Paine, 95)",48,50,0.6238095238095238,0.0,45,100,0.609116809116809,0.4494364165239822
Harriet Evans,hasName,Harriet Evans,2. hasBirthDate,"hasBirthDate(Harriet Evans Paine, ""1822"")",45,48,0.5428571428571428,0.0,48,100,0.618511569731082,0.5023287782256718
Harriet Evans,hasName,Harriet Evans,3. hasDeathDate,"hasDeathDate(Harriet Evans Paine, ""1917"")",45,48,0.6158730158730159,0.0,48,100,0.618511569731082,0.5023287782256718
Harriet Evans,hasName,Harriet Evans,Sex Record Module,,8,17,0.4005602240896358,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasSex,"hasSex(Harriet Evans Paine, ""Female"")",50,53,0.671957671957672,0.0,52,100,0.6299376299376299,0.5023287782256719
Harriet Evans,hasName,Harriet Evans,Person Status Record Module,,18,18,0.4021164021164021,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Harriet Evans Paine, ""birth into slavery, emancipation of slaves in 1865"")",30,38,0.6355311355311355,0.0,23,100,0.5570381998953428,0.3032160644503863
Harriet Evans,hasName,Harriet Evans,2. hasValue,"hasValue(Harriet Evans Paine, ""Enslaved, Free Person"")",56,59,0.7229437229437229,0.0,39,100,0.5930674264007597,0.41036264495218466
Harriet Evans,hasName,Harriet Evans,Occupation Record Module,,13,19,0.45634920634920634,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasValue,"hasValue(Harriet Evans Paine, ""Thimble Girl, Servant, Oral Historian"")",56,59,0.7229437229437229,0.0,31,100,0.5747252747252748,0.3554767779546839
Harriet Evans,hasName,Harriet Evans,InterAgent Relationship Record Module,,14,18,0.3921063921063921,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Harriet Evans Paine, ""Parent, Owner, Father of Children"")",26,32,0.5568452380952381,0.0,26,100,0.5626289419392867,0.3554767779546839
Harriet Evans,hasName,Harriet Evans,2. isRelationshipTo,"isRelationshipTo(Harriet Evans Paine, ""Jim Evans, Rebecca Evans, Swan Hardin, Jerusha Hardin, Henry Rowe, Mr. Green"")",15,16,0.4177109440267335,0.0,20,100,0.5498575498575499,0.4609307516891932
Harriet Evans,hasName,Harriet Evans,3. isRelationshipFrom,"isRelationshipFrom(Jim Evans, Rebecca Evans, Swan Hardin, Jerusha Hardin, Henry Rowe, Mr. Green, ""Harriet Evans Paine"")",21,22,0.41269841269841273,0.0,20,100,0.6005171299288946,0.4609307516891932
Harriet Evans,hasName,Harriet Evans,Participant Role Record Module,,16,16,0.5095238095238095,0.0,0,0,0.0,0.0
Harriet Evans,hasName,Harriet Evans,1. hasParticipantRoleType,"hasParticipantRoleType(Harriet Evans Paine, ""Preserver"")",31,32,0.5771428571428571,0.0,38,100,0.5902014652014652,0.5023287782256718
Harriet Evans,hasName,Harriet Evans,2. roleProvidedBy,"roleProvidedBy(Harriet Evans Paine, ""Saving of Hardin family's letters and documents from a fire in 1916"")",8,9,0.4005602240896358,0.0,22,100,0.6049830672472182,0.26880497578542223
Harriet Evans,hasFirstName,Harriet,Name Record Module,,27,27,0.4314814814814814,0.0,0,0,0.0,0.0
