TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Horace King,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Horace King,instance of,Person,1. hasNameVariant,"hasNameVariant(Horace King, ""Horace Godwin"")",21,22,0.4496434937611408,0.0,16,21,0.5156565656565656,0.0
Horace King,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Horace King, ""Horace Godwin"")",16,17,0.4822843822843823,0.0,17,21,0.5932914046121592,0.0
Horace King,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Horace King, ""Horace King"")",20,28,0.35805422647527907,0.0,14,20,0.5092243186582809,0.0
Horace King,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Horace King, ""King"")",25,26,0.43088023088023086,0.0,15,19,0.5,0.0
Horace King,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Horace King, ""Horace"")",29,30,0.5040466779597215,0.0,14,18,0.49786324786324787,0.0
Horace King,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Horace King,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Horace King, ""Unknown"")",29,41,0.4998196248196248,0.0,20,21,0.6,0.0
Horace King,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Horace King,instance of,Person,1. has_Race,"has_Race(Horace King, ""African-American"")",36,38,0.49242424242424243,0.0,13,23,0.5184281842818428,0.0
Horace King,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Horace King,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Horace King, 77)",24,25,0.46645021645021645,0.0,19,21,0.41591591591591587,0.0
Horace King,instance of,Person,2. hasBirthDate,"hasBirthDate(Horace King, ""September 8, 1807"")",31,32,0.3767676767676768,0.0,12,13,0.5806763285024155,0.0
Horace King,instance of,Person,3. hasDeathDate,"hasDeathDate(Horace King, ""1885"")",31,32,0.46262626262626255,0.0,15,17,0.4292929292929293,0.0
Horace King,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Horace King,instance of,Person,1. hasSex,"hasSex(Horace King, ""Male"")",20,21,0.42424242424242414,0.0,18,21,0.5395061728395062,0.0
Horace King,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Horace King,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Horace King, ""manumission, election to the Alabama House of Representatives"")",27,28,0.4809634809634809,0.0,9,10,0.4942794279427943,0.0
Horace King,instance of,Person,2. hasValue,"hasValue(Horace King, ""Enslaved, Free, Legislator"")",27,29,0.404040404040404,0.0,14,20,0.5104575163398692,0.0
Horace King,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
