TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Mary Elizabeth Bowser,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Mary Elizabeth Bowser,instance of,Person,1. hasNameVariant,"hasNameVariant(Mary Richards, ""Mary Jane Richards Garvin"")",21,22,0.4496434937611408,0.0,12,13,0.4952107279693487,0.0
Mary Elizabeth Bowser,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Mary Richards, ""Mary Jane Richards Garvin"")",16,17,0.4822843822843823,0.0,14,15,0.5693200663349917,0.0
Mary Elizabeth Bowser,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Mary Richards, ""Mary Richards"")",20,28,0.35805422647527907,0.0,10,19,0.49561403508771934,0.0
Mary Elizabeth Bowser,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Mary Richards, ""Richards"")",25,26,0.43088023088023086,0.0,10,18,0.49691358024691357,0.0
Mary Elizabeth Bowser,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Mary Richards, ""Mary"")",29,30,0.5040466779597215,0.0,10,17,0.49786324786324787,0.0
Mary Elizabeth Bowser,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Mary Elizabeth Bowser,instance of,Person,1. hasDescription,"hasDescription(Mary Richards, ""Enslaved. Free before the 13th Amendment. Worked as a Union spy during the Civil War. Educated in the North and Liberia. Founder of a freedmen's school in St. Marys, Georgia in 1867."")",21,22,0.5772430184194891,0.0,5,6,0.5521963824289405,0.0
Mary Elizabeth Bowser,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Mary Elizabeth Bowser,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Mary Richards, ""Virginia"")",29,41,0.4998196248196248,0.0,19,20,0.5972222222222222,0.0
Mary Elizabeth Bowser,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Mary Elizabeth Bowser,instance of,Person,1. has_Race,"has_Race(Mary Richards, ""African-American"")",36,38,0.49242424242424243,0.0,16,13,0.41214470284237725,0.0
Mary Elizabeth Bowser,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Mary Elizabeth Bowser,instance of,Person,1. hasBirthDate,"hasBirthDate(Mary Richards, ""1846"")",31,32,0.3767676767676768,0.0,15,16,0.4174603174603175,0.0
Mary Elizabeth Bowser,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Mary Elizabeth Bowser,instance of,Person,1. hasSex,"hasSex(Mary Richards, ""Female"")",20,21,0.42424242424242414,0.0,16,18,0.4211469534050179,0.0
Mary Elizabeth Bowser,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
