TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Patsey,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Patsey,instance of,Person,1. hasNameVariant,"hasNameVariant(Patsy, ""Patsy"")",21,22,0.4496434937611408,0.0,17,23,0.5166666666666666,0.0
Patsey,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Patsy, ""Patsy"")",16,17,0.4822843822843823,0.0,18,23,0.5871794871794872,0.0
Patsey,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Patsy, ""Patsy"")",20,28,0.35805422647527907,0.0,13,23,0.5047425474254742,0.0
Patsey,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Patsy, """")",25,26,0.43088023088023086,0.0,14,22,0.5073099415204678,0.0
Patsey,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Patsy, ""Patsy"")",29,30,0.5040466779597215,0.0,12,21,0.5018518518518519,0.0
Patsey,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Patsey,instance of,Person,1. hasDescription,"hasDescription(Patsy, ""Often used as a diminutive of the feminine name Patricia or the masculine name Patrick, and occasionally other names containing the syllable 'Pat'. It was also a nickname for Martha or Matilda in older usage. Notable people named Patsy include Australian children's entertainer Patsy Biscoe, British motor racing driver Patricia Patsy Burt, and American country singer Patsy Cline. The name has also been used for various fictional characters, such as Patsy in Monty Python and the Holy Grail, and Patsy Stone in the British television series Absolutely Fabulous. The popularity of the name has decreased due to its North American meaning as 'dupe' or 'scapegoat'."")",21,22,0.5772430184194891,0.0,2,2,0.5584583131752944,0.0
Patsey,instance of,Person,Note,"The remaining modules (Origin Record Module, Race Record Module, Age Record Module, Sex Record Module, Person Status Record Module, Occupation Record Module, InterAgent Relationship Record Module, and Participant Role Record Module) are not populated as the text does not provide information for these.",27,40,0.5606060606060607,0.0,4,100,0.5066225165562914,0.05651409069216015
Patsey,hasName,Patsey,Name Record Module,,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
Patsey,hasName,Patsey,1. hasNameVariant,"hasNameVariant(Patsy, ""Patsy"")",58,61,0.8039215686274509,0.0,28,38,0.6,0.0
Patsey,hasName,Patsey,2. hasPreferredNameVariant,"hasPreferredNameVariant(Patsy, ""Patsy"")",42,44,0.6611721611721612,0.0,22,29,0.5064102564102564,0.0
Patsey,hasName,Patsey,3. fullNameAsString,"string): fullNameAsString(Patsy, ""Patsy"")",31,32,0.5106516290726817,0.0,21,29,0.5047425474254742,0.0
Patsey,hasName,Patsey,4. hasSurnameAsString,"string): hasSurnameAsString(Patsy, """")",43,52,0.7142857142857143,0.0,23,27,0.5073099415204678,0.0
Patsey,hasName,Patsey,5. hasFirstnameAsString,"string): hasFirstnameAsString(Patsy, ""Patsy"")",40,48,0.7060041407867494,0.0,20,26,0.5018518518518519,0.0
Patsey,hasName,Patsey,Description Module,,16,32,0.2989417989417989,0.0,0,0,0.0,0.0
Patsey,hasName,Patsey,1. hasDescription,"hasDescription(Patsy, ""Often used as a diminutive of the feminine name Patricia or the masculine name Patrick, and occasionally other names containing the syllable 'Pat'. It was also a nickname for Martha or Matilda in older usage. Notable people named Patsy include Australian children's entertainer Patsy Biscoe, British motor racing driver Patricia Patsy Burt, and American country singer Patsy Cline. The name has also been used for various fictional characters, such as Patsy in Monty Python and the Holy Grail, and Patsy Stone in the British television series Absolutely Fabulous. The popularity of the name has decreased due to its North American meaning as 'dupe' or 'scapegoat'."")",33,35,0.6022408963585434,0.0,2,2,0.5584583131752944,0.0
Patsey,hasName,Patsey,Note,"The remaining modules (Origin Record Module, Race Record Module, Age Record Module, Sex Record Module, Person Status Record Module, Occupation Record Module, InterAgent Relationship Record Module, and Participant Role Record Module) are not populated as the text does not provide information for these.",36,36,0.0,0.0,3,5,0.48329654157468727,0.0
Patsey,hasSex,Female,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Patsey,hasSex,Female,1. hasNameVariant,"hasNameVariant(Patsy, ""Patsy"")",35,36,0.6339869281045751,0.0,11,15,0.4222222222222222,0.0
Patsey,hasSex,Female,2. hasPreferredNameVariant,"hasPreferredNameVariant(Patsy, ""Patsy"")",25,26,0.6068376068376068,0.0,13,23,0.4230769230769231,0.0
Patsey,hasSex,Female,3. fullNameAsString,"string): fullNameAsString(Patsy, ""Patsy"")",24,25,0.4795321637426901,0.0,9,17,0.4214092140921409,0.0
Patsey,hasSex,Female,4. hasSurnameAsString,"string): hasSurnameAsString(Patsy, """")",37,38,0.6904761904761904,0.0,9,11,0.4152046783625731,0.0
Patsey,hasSex,Female,5. hasFirstnameAsString,"string): hasFirstnameAsString(Patsy, ""Patsy"")",28,36,0.6135265700483091,0.0,12,15,0.5018518518518519,0.0
Patsey,hasSex,Female,Description Module,,17,17,0.3148148148148148,0.0,0,0,0.0,0.0
Patsey,hasSex,Female,1. hasDescription,"hasDescription(Patsy, ""Often used as a diminutive of the feminine name Patricia or the masculine name Patrick, and occasionally other names containing the syllable 'Pat'. It was also a nickname for Martha or Matilda in older usage. Notable people named Patsy include Australian children's entertainer Patsy Biscoe, British motor racing driver Patricia Patsy Burt, and American country singer Patsy Cline. The name has also been used for various fictional characters, such as Patsy in Monty Python and the Holy Grail, and Patsy Stone in the British television series Absolutely Fabulous. The popularity of the name has decreased due to its North American meaning as 'dupe' or 'scapegoat'."")",35,36,0.6339869281045751,0.0,1,2,0.48019674246089344,0.0
Patsey,hasSex,Female,Note,"The remaining modules (Origin Record Module, Race Record Module, Age Record Module, Sex Record Module, Person Status Record Module, Occupation Record Module, InterAgent Relationship Record Module, and Participant Role Record Module) are not populated as the text does not provide information for these.",20,20,0.47222222222222215,0.0,3,6,0.48329654157468727,0.0
Patsey,hasPersonStatus,Enslaved Person,Name Record Module,,30,24,0.4703703703703704,0.0,0,0,0.0,0.0
Patsey,hasPersonStatus,Enslaved Person,1. hasNameVariant,"hasNameVariant(Patsy, ""Patsy"")",44,45,0.584640522875817,0.0,27,34,0.47500000000000003,0.0
Patsey,hasPersonStatus,Enslaved Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Patsy, ""Patsy"")",39,45,0.531013431013431,0.0,22,32,0.4621082621082621,0.0
Patsey,hasPersonStatus,Enslaved Person,3. fullNameAsString,"string): fullNameAsString(Patsy, ""Patsy"")",29,30,0.5321637426900585,0.0,25,32,0.470189701897019,0.0
Patsey,hasPersonStatus,Enslaved Person,4. hasSurnameAsString,"string): hasSurnameAsString(Patsy, """")",39,40,0.6614718614718614,0.0,23,30,0.4146198830409357,0.0
Patsey,hasPersonStatus,Enslaved Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Patsy, ""Patsy"")",42,43,0.6628019323671497,0.0,23,29,0.4518518518518519,0.0
Patsey,hasPersonStatus,Enslaved Person,Description Module,,30,30,0.5232804232804233,0.0,0,0,0.0,0.0
Patsey,hasPersonStatus,Enslaved Person,1. hasDescription,"hasDescription(Patsy, ""Often used as a diminutive of the feminine name Patricia or the masculine name Patrick, and occasionally other names containing the syllable 'Pat'. It was also a nickname for Martha or Matilda in older usage. Notable people named Patsy include Australian children's entertainer Patsy Biscoe, British motor racing driver Patricia Patsy Burt, and American country singer Patsy Cline. The name has also been used for various fictional characters, such as Patsy in Monty Python and the Holy Grail, and Patsy Stone in the British television series Absolutely Fabulous. The popularity of the name has decreased due to its North American meaning as 'dupe' or 'scapegoat'."")",44,45,0.5785247432306256,0.0,4,6,0.5083604027000254,0.0
Patsey,hasPersonStatus,Enslaved Person,Note,"The remaining modules (Origin Record Module, Race Record Module, Age Record Module, Sex Record Module, Person Status Record Module, Occupation Record Module, InterAgent Relationship Record Module, and Participant Role Record Module) are not populated as the text does not provide information for these.",21,21,0.37777777777777777,0.0,8,57,0.4827248542480331,0.03276340386103209
Patsey,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Patsey,hasParticipantRole,Child,1. hasNameVariant,"hasNameVariant(Patsy, ""Patsy"")",51,53,0.6145969498910675,0.0,11,16,0.48888888888888893,0.0
Patsey,hasParticipantRole,Child,2. hasPreferredNameVariant,"hasPreferredNameVariant(Patsy, ""Patsy"")",45,47,0.58005698005698,0.0,9,12,0.4478632478632479,0.0
Patsey,hasParticipantRole,Child,3. fullNameAsString,"string): fullNameAsString(Patsy, ""Patsy"")",27,28,0.3803118908382066,0.0,9,6,0.48292682926829267,0.0
Patsey,hasParticipantRole,Child,4. hasSurnameAsString,"string): hasSurnameAsString(Patsy, """")",36,37,0.5687830687830688,0.0,9,11,0.31754385964912285,0.0
Patsey,hasParticipantRole,Child,5. hasFirstnameAsString,"string): hasFirstnameAsString(Patsy, ""Patsy"")",34,40,0.5967793880837359,0.0,8,11,0.3148148148148148,0.0
Patsey,hasParticipantRole,Child,Description Module,,44,44,0.6498316498316499,0.0,0,0,0.0,0.0
Patsey,hasParticipantRole,Child,1. hasDescription,"hasDescription(Patsy, ""Often used as a diminutive of the feminine name Patricia or the masculine name Patrick, and occasionally other names containing the syllable 'Pat'. It was also a nickname for Martha or Matilda in older usage. Notable people named Patsy include Australian children's entertainer Patsy Biscoe, British motor racing driver Patricia Patsy Burt, and American country singer Patsy Cline. The name has also been used for various fictional characters, such as Patsy in Monty Python and the Holy Grail, and Patsy Stone in the British television series Absolutely Fabulous. The popularity of the name has decreased due to its North American meaning as 'dupe' or 'scapegoat'."")",46,47,0.6618142206377501,0.0,1,2,0.5186018384131592,0.0
Patsey,hasParticipantRole,Child,Note,"The remaining modules (Origin Record Module, Race Record Module, Age Record Module, Sex Record Module, Person Status Record Module, Occupation Record Module, InterAgent Relationship Record Module, and Participant Role Record Module) are not populated as the text does not provide information for these.",18,27,0.4351851851851852,0.0,3,4,0.5210816777041942,0.0
Patsey,hasParticipantRole,Sold Person,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Patsey,hasParticipantRole,Sold Person,1. hasNameVariant,"hasNameVariant(Patsy, ""Patsy"")",51,53,0.6145969498910675,0.0,15,32,0.4737373737373738,0.0
Patsey,hasParticipantRole,Sold Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Patsy, ""Patsy"")",45,47,0.58005698005698,0.0,16,30,0.4553224553224553,0.0
Patsey,hasParticipantRole,Sold Person,3. fullNameAsString,"string): fullNameAsString(Patsy, ""Patsy"")",27,28,0.3803118908382066,0.0,15,25,0.45950797170309365,0.0
