TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Pierre Caliste Landry,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasNameVariant,"hasNameVariant(Pierre Caliste Landry, ""Pierre Caliste Landry"")",21,22,0.4496434937611408,0.0,15,14,0.571326164874552,0.0
Pierre Caliste Landry,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Pierre Caliste Landry, ""Pierre Caliste Landry"")",16,17,0.4822843822843823,0.0,13,16,0.5679186228482004,0.0
Pierre Caliste Landry,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Pierre Caliste Landry, ""Pierre Caliste Landry"")",20,28,0.35805422647527907,0.0,13,20,0.5006088280060883,0.0
Pierre Caliste Landry,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Pierre Caliste Landry, ""Landry"")",25,26,0.43088023088023086,0.0,15,19,0.5055555555555555,0.0
Pierre Caliste Landry,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Pierre Caliste Landry, ""Pierre"")",29,30,0.5040466779597215,0.0,15,18,0.5046594982078854,0.0
Pierre Caliste Landry,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasDescription,"hasDescription(Pierre Caliste Landry, ""Enslaved. Free before the 13th Amendment. The first African American mayor in the United States in 1868. Occupations included attorney, Methodist Episcopal minister, mayor, newspaper editor, and state legislator. Founder of New Orleans University and held various other positions such as judge, superintendent of schools, tax collector, and justice of the peace."")",21,22,0.5772430184194891,0.0,3,3,0.5605183347118831,0.0
Pierre Caliste Landry,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Pierre Caliste Landry, ""Louisiana"")",29,41,0.4998196248196248,0.0,19,20,0.5906432748538011,0.0
Pierre Caliste Landry,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. has_Race,"has_Race(Pierre Caliste Landry, ""African-American"")",36,38,0.49242424242424243,0.0,18,15,0.577124183006536,0.0
Pierre Caliste Landry,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Pierre Caliste Landry, 80)",24,25,0.46645021645021645,0.0,19,12,0.5132387706855792,0.0
Pierre Caliste Landry,instance of,Person,2. hasBirthDate,"hasBirthDate(Pierre Caliste Landry, ""April 19, 1841"")",31,32,0.3767676767676768,0.0,17,15,0.5092243186582809,0.0
Pierre Caliste Landry,instance of,Person,3. hasDeathDate,"hasDeathDate(Pierre Caliste Landry, ""December 22, 1921"")",31,32,0.46262626262626255,0.0,16,14,0.5742063492063493,0.0
Pierre Caliste Landry,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasSex,"hasSex(Pierre Caliste Landry, ""Male"")",20,21,0.42424242424242414,0.0,23,15,0.5082582582582583,0.0
Pierre Caliste Landry,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Pierre Caliste Landry, ""manumission, election as mayor"")",27,28,0.4809634809634809,0.0,14,12,0.4986111111111111,0.0
Pierre Caliste Landry,instance of,Person,2. hasValue,"hasValue(Pierre Caliste Landry, ""Free Person, Mayor, Attorney, Minister, Editor, Legislator"")",27,29,0.404040404040404,0.0,12,100,0.5770609318996415,0.21951095080860836
Pierre Caliste Landry,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasValue,"hasValue(Pierre Caliste Landry, ""Attorney, Methodist Episcopal Minister, Mayor, Newspaper Editor, State Legislator"")",27,29,0.404040404040404,0.0,10,11,0.5727969348659004,0.0
Pierre Caliste Landry,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Pierre Caliste Landry, ""Political Affiliation"")",23,33,0.5340909090909091,0.0,14,10,0.5815295815295816,0.0
Pierre Caliste Landry,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Pierre Caliste Landry, ""Republican Party"")",33,34,0.5494417862838915,0.0,15,16,0.5894538606403014,0.0
Pierre Caliste Landry,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Republican Party, ""Pierre Caliste Landry"")",31,32,0.536075036075036,0.0,15,16,0.5051001821493625,0.0
Pierre Caliste Landry,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Pierre Caliste Landry,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Pierre Caliste Landry, ""Founder"")",28,29,0.5574242424242425,0.0,19,17,0.5912698412698413,0.0
Pierre Caliste Landry,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Pierre Caliste Landry, ""Founding of New Orleans University"")",14,15,0.3719548425430778,0.0,15,13,0.5822222222222222,0.0
Pierre Caliste Landry,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Pierre Caliste Landry,hasSex,Male,1. hasNameVariant,"hasNameVariant(Pierre Caliste Landry, ""Pierre Caliste Landry"")",35,36,0.6339869281045751,0.0,9,20,0.48835125448028666,0.0
Pierre Caliste Landry,hasSex,Male,2. hasPreferredNameVariant,"hasPreferredNameVariant(Pierre Caliste Landry, ""Pierre Caliste Landry"")",25,26,0.6068376068376068,0.0,8,16,0.48630672926447566,0.0
Pierre Caliste Landry,hasSex,Male,3. fullNameAsString,"string): fullNameAsString(Pierre Caliste Landry, ""Pierre Caliste Landry"")",24,25,0.4795321637426901,0.0,8,16,0.4859208523592085,0.0
Pierre Caliste Landry,hasSex,Male,4. hasSurnameAsString,"string): hasSurnameAsString(Pierre Caliste Landry, ""Landry"")",37,38,0.6904761904761904,0.0,9,16,0.5111111111111111,0.0
Pierre Caliste Landry,hasSex,Male,5. hasFirstnameAsString,"string): hasFirstnameAsString(Pierre Caliste Landry, ""Pierre"")",28,36,0.6135265700483091,0.0,9,15,0.510752688172043,0.0
Pierre Caliste Landry,hasSex,Male,Description Module,,17,17,0.3148148148148148,0.0,0,0,0.0,0.0
Pierre Caliste Landry,hasSex,Male,1. hasDescription,"hasDescription(Pierre Caliste Landry, ""Enslaved. Free before the 13th Amendment. The first African American mayor in the United States in 1868. Occupations included attorney, Methodist Episcopal minister, mayor, newspaper editor, and state legislator. Founder of New Orleans University and held various other positions such as judge, superintendent of schools, tax collector, and justice of the peace."")",35,36,0.6339869281045751,0.0,2,2,0.5866418527708851,0.0
Pierre Caliste Landry,hasSex,Male,Origin Record Module,,8,8,0.4055555555555556,0.0,0,0,0.0,0.0
Pierre Caliste Landry,hasSex,Male,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Pierre Caliste Landry, ""Louisiana"")",13,14,0.3055555555555555,0.0,10,11,0.489766081871345,0.0
Pierre Caliste Landry,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
