TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Timothy Thomas Fortune,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasNameVariant,"hasNameVariant(Timothy Thomas Fortune, ""Timothy Thomas Fortune"")",21,22,0.4496434937611408,0.0,14,19,0.5038194444444445,0.0
Timothy Thomas Fortune,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(Timothy Thomas Fortune, ""Timothy Thomas Fortune"")",16,17,0.4822843822843823,0.0,15,19,0.5829528158295281,0.0
Timothy Thomas Fortune,instance of,Person,3. fullNameAsString,"string): fullNameAsString(Timothy Thomas Fortune, ""Timothy Thomas Fortune"")",20,28,0.35805422647527907,0.0,12,15,0.5,0.0
Timothy Thomas Fortune,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(Timothy Thomas Fortune, ""Fortune"")",25,26,0.43088023088023086,0.0,15,15,0.5046594982078854,0.0
Timothy Thomas Fortune,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(Timothy Thomas Fortune, ""Timothy"")",29,30,0.5040466779597215,0.0,14,14,0.5038194444444445,0.0
Timothy Thomas Fortune,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasDescription,"hasDescription(Timothy Thomas Fortune, ""Enslaved. Free before the 13th Amendment. Civil rights leader, journalist, writer, editor, and publisher. Founder of the National Afro-American League and the National Afro-American Council."")",21,22,0.5772430184194891,0.0,4,5,0.5516283524904214,0.0
Timothy Thomas Fortune,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(Timothy Thomas Fortune, ""Florida"")",29,41,0.4998196248196248,0.0,19,17,0.5912698412698413,0.0
Timothy Thomas Fortune,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. has_Race,"has_Race(Timothy Thomas Fortune, ""African-American"")",36,38,0.49242424242424243,0.0,14,15,0.5098290598290598,0.0
Timothy Thomas Fortune,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasAgeValue,"double): hasAgeValue(Timothy Thomas Fortune, 71)",24,25,0.46645021645021645,0.0,15,16,0.40972222222222215,0.0
Timothy Thomas Fortune,instance of,Person,2. hasBirthDate,"hasBirthDate(Timothy Thomas Fortune, ""October 3, 1856"")",31,32,0.3767676767676768,0.0,13,14,0.49646464646464644,0.0
Timothy Thomas Fortune,instance of,Person,3. hasDeathDate,"hasDeathDate(Timothy Thomas Fortune, ""June 2, 1928"")",31,32,0.46262626262626255,0.0,14,11,0.40811965811965817,0.0
Timothy Thomas Fortune,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasSex,"hasSex(Timothy Thomas Fortune, ""Male"")",20,21,0.42424242424242414,0.0,18,15,0.4152046783625731,0.0
Timothy Thomas Fortune,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(Timothy Thomas Fortune, ""birth into slavery, education, various occupations"")",27,28,0.4809634809634809,0.0,9,10,0.4942794279427943,0.0
Timothy Thomas Fortune,instance of,Person,2. hasValue,"hasValue(Timothy Thomas Fortune, ""Enslaved, Free, Civil Rights Leader, Journalist, Writer, Editor, Publisher"")",27,29,0.404040404040404,0.0,9,9,0.49292929292929294,0.0
Timothy Thomas Fortune,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasValue,"hasValue(Timothy Thomas Fortune, ""Civil Rights Leader, Journalist, Writer, Editor, Publisher"")",27,29,0.404040404040404,0.0,10,11,0.4955082742316785,0.0
Timothy Thomas Fortune,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(Timothy Thomas Fortune, ""Advisor, Editor"")",23,33,0.5340909090909091,0.0,13,14,0.5009259259259259,0.0
Timothy Thomas Fortune,instance of,Person,2. isRelationshipTo,"isRelationshipTo(Timothy Thomas Fortune, ""Booker T. Washington"")",33,34,0.5494417862838915,0.0,14,15,0.4930555555555555,0.0
Timothy Thomas Fortune,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Booker T. Washington, ""Timothy Thomas Fortune"")",31,32,0.536075036075036,0.0,14,15,0.503030303030303,0.0
Timothy Thomas Fortune,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(Timothy Thomas Fortune, ""Founder"")",28,29,0.5574242424242425,0.0,16,14,0.5906432748538011,0.0
Timothy Thomas Fortune,instance of,Person,2. roleProvidedBy,"roleProvidedBy(Timothy Thomas Fortune, ""Founding of National Afro-American League and National Afro-American Council"")",14,15,0.3719548425430778,0.0,8,8,0.5725047080979285,0.0
Timothy Thomas Fortune,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Timothy Thomas Fortune,hasSex,Male,1. hasNameVariant,"hasNameVariant(Timothy Thomas Fortune, ""Timothy Thomas Fortune"")",35,36,0.6339869281045751,0.0,6,10,0.5104166666666666,0.0
Timothy Thomas Fortune,hasSex,Male,2. hasPreferredNameVariant,"hasPreferredNameVariant(Timothy Thomas Fortune, ""Timothy Thomas Fortune"")",25,26,0.6068376068376068,0.0,5,8,0.5091324200913242,0.0
Timothy Thomas Fortune,hasSex,Male,3. fullNameAsString,"string): fullNameAsString(Timothy Thomas Fortune, ""Timothy Thomas Fortune"")",24,25,0.4795321637426901,0.0,5,8,0.4855555555555555,0.0
Timothy Thomas Fortune,hasSex,Male,4. hasSurnameAsString,"string): hasSurnameAsString(Timothy Thomas Fortune, ""Fortune"")",37,38,0.6904761904761904,0.0,6,8,0.510752688172043,0.0
Timothy Thomas Fortune,hasSex,Male,5. hasFirstnameAsString,"string): hasFirstnameAsString(Timothy Thomas Fortune, ""Timothy"")",28,36,0.6135265700483091,0.0,6,7,0.5104166666666666,0.0
Timothy Thomas Fortune,hasSex,Male,Description Module,,17,17,0.3148148148148148,0.0,0,0,0.0,0.0
