TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Harvey Carney,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasNameVariant,"hasNameVariant(William Harvey Carney, ""William Harvey Carney"")",21,22,0.4496434937611408,0.0,9,19,0.49372759856630827,0.0
William Harvey Carney,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Harvey Carney, ""William Harvey Carney"")",16,17,0.4822843822843823,0.0,10,16,0.5679186228482004,0.0
William Harvey Carney,instance of,Person,3. fullNameAsString,"string): fullNameAsString(William Harvey Carney, ""William Harvey Carney"")",20,28,0.35805422647527907,0.0,8,16,0.49048706240487067,0.0
William Harvey Carney,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(William Harvey Carney, ""Carney"")",25,26,0.43088023088023086,0.0,9,15,0.49444444444444446,0.0
William Harvey Carney,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(William Harvey Carney, ""William"")",29,30,0.5040466779597215,0.0,9,15,0.49338624338624343,0.0
William Harvey Carney,instance of,Person,Description Module,,34,34,0.5989057239057239,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasDescription,"hasDescription(William Harvey Carney, ""Enslaved. Free before the 13th Amendment. Soldier in the Civil War, notably saving the regimental colors during the Battle of Fort Wagner in 1863, for which he was awarded the Medal of Honor in 1900. Occupations included soldier, streetlight maintenance worker, and mail carrier."")",21,22,0.5772430184194891,0.0,3,4,0.5496527777777778,0.0
William Harvey Carney,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(William Harvey Carney, ""Norfolk, Virginia"")",29,41,0.4998196248196248,0.0,14,15,0.5863247863247864,0.0
William Harvey Carney,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. has_Race,"has_Race(William Harvey Carney, ""African-American"")",36,38,0.49242424242424243,0.0,11,11,0.49836601307189543,0.0
William Harvey Carney,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasAgeValue,"double): hasAgeValue(William Harvey Carney, 68)",24,25,0.46645021645021645,0.0,11,12,0.41016548463356967,0.0
William Harvey Carney,instance of,Person,2. hasBirthDate,"hasBirthDate(William Harvey Carney, ""February 29, 1840"")",31,32,0.3767676767676768,0.0,10,11,0.49603174603174605,0.0
William Harvey Carney,instance of,Person,3. hasDeathDate,"hasDeathDate(William Harvey Carney, ""December 9, 1908"")",31,32,0.46262626262626255,0.0,10,11,0.49646464646464644,0.0
William Harvey Carney,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasSex,"hasSex(William Harvey Carney, ""Male"")",20,21,0.42424242424242414,0.0,14,15,0.41591591591591587,0.0
William Harvey Carney,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(William Harvey Carney, ""escape through the Underground Railroad, enlistment in the 54th Massachusetts Volunteer Infantry"")",27,28,0.4809634809634809,0.0,7,8,0.4891933028919331,0.0
William Harvey Carney,instance of,Person,2. hasValue,"hasValue(William Harvey Carney, ""Enslaved, Free, Soldier"")",27,29,0.404040404040404,0.0,12,14,0.4952107279693487,0.0
William Harvey Carney,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasValue,"hasValue(William Harvey Carney, ""Soldier, Streetlight Maintenance Worker, Mail Carrier"")",27,29,0.404040404040404,0.0,9,9,0.4967171717171717,0.0
William Harvey Carney,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
William Harvey Carney,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(William Harvey Carney, ""Soldier"")",28,29,0.5574242424242425,0.0,13,14,0.5912698412698413,0.0
William Harvey Carney,instance of,Person,2. roleProvidedBy,"roleProvidedBy(William Harvey Carney, ""Battle of Fort Wagner"")",14,15,0.3719548425430778,0.0,15,12,0.5046594982078854,0.0
William Harvey Carney,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasNameVariant,"hasNameVariant(William Harvey Carney, ""William Harvey Carney"")",35,36,0.6339869281045751,0.0,9,15,0.48835125448028666,0.0
William Harvey Carney,hasSex,Male,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Harvey Carney, ""William Harvey Carney"")",25,26,0.6068376068376068,0.0,8,12,0.48630672926447566,0.0
William Harvey Carney,hasSex,Male,3. fullNameAsString,"string): fullNameAsString(William Harvey Carney, ""William Harvey Carney"")",24,25,0.4795321637426901,0.0,8,12,0.4859208523592085,0.0
William Harvey Carney,hasSex,Male,4. hasSurnameAsString,"string): hasSurnameAsString(William Harvey Carney, ""Carney"")",37,38,0.6904761904761904,0.0,9,12,0.48888888888888893,0.0
William Harvey Carney,hasSex,Male,5. hasFirstnameAsString,"string): hasFirstnameAsString(William Harvey Carney, ""William"")",28,36,0.6135265700483091,0.0,9,11,0.48809523809523814,0.0
William Harvey Carney,hasSex,Male,Description Module,,17,17,0.3148148148148148,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasDescription,"hasDescription(William Harvey Carney, ""Enslaved. Free before the 13th Amendment. Soldier in the Civil War, notably saving the regimental colors during the Battle of Fort Wagner in 1863, for which he was awarded the Medal of Honor in 1900. Occupations included soldier, streetlight maintenance worker, and mail carrier."")",35,36,0.6339869281045751,0.0,2,3,0.4753472222222222,0.0
William Harvey Carney,hasSex,Male,Origin Record Module,,8,8,0.4055555555555556,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(William Harvey Carney, ""Norfolk, Virginia"")",13,14,0.3055555555555555,0.0,9,9,0.48760683760683765,0.0
William Harvey Carney,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. has_Race,"has_Race(William Harvey Carney, ""African-American"")",47,50,0.5909090909090909,0.0,11,12,0.49183006535947715,0.0
William Harvey Carney,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasAgeValue,"double): hasAgeValue(William Harvey Carney, 68)",40,42,0.6507936507936508,0.0,12,13,0.49349881796690304,0.0
William Harvey Carney,hasSex,Male,2. hasBirthDate,"hasBirthDate(William Harvey Carney, ""February 29, 1840"")",38,40,0.5666666666666667,0.0,10,7,0.4900793650793651,0.0
William Harvey Carney,hasSex,Male,3. hasDeathDate,"hasDeathDate(William Harvey Carney, ""December 9, 1908"")",38,40,0.6444444444444445,0.0,10,11,0.4904040404040404,0.0
William Harvey Carney,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasSex,"hasSex(William Harvey Carney, ""Male"")",80,100,0.8888888888888888,1.0,20,100,0.49924924924924924,0.33517574332792605
William Harvey Carney,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(William Harvey Carney, ""escape through the Underground Railroad, enlistment in the 54th Massachusetts Volunteer Infantry"")",31,32,0.6752136752136751,0.0,5,6,0.47907153729071533,0.0
William Harvey Carney,hasSex,Male,2. hasValue,"hasValue(William Harvey Carney, ""Enslaved, Free, Soldier"")",47,50,0.5909090909090909,0.0,10,11,0.6005747126436781,0.0
William Harvey Carney,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasValue,"hasValue(William Harvey Carney, ""Soldier, Streetlight Maintenance Worker, Mail Carrier"")",47,50,0.5909090909090909,0.0,9,9,0.5946969696969697,0.0
William Harvey Carney,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
William Harvey Carney,hasSex,Male,1. hasParticipantRoleType,"hasParticipantRoleType(William Harvey Carney, ""Soldier"")",26,27,0.54,0.0,10,11,0.6011904761904762,0.0
William Harvey Carney,hasSex,Male,2. roleProvidedBy,"roleProvidedBy(William Harvey Carney, ""Battle of Fort Wagner"")",9,9,0.40849673202614384,0.0,9,10,0.48835125448028666,0.0
William Harvey Carney,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
William Harvey Carney,hasParticipantRole,Child,1. hasNameVariant,"hasNameVariant(William Harvey Carney, ""William Harvey Carney"")",51,53,0.6145969498910675,0.0,9,20,0.45483870967741935,0.0
William Harvey Carney,hasParticipantRole,Child,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Harvey Carney, ""William Harvey Carney"")",45,47,0.58005698005698,0.0,8,16,0.5354460093896715,0.0
William Harvey Carney,hasParticipantRole,Child,3. fullNameAsString,"string): fullNameAsString(William Harvey Carney, ""William Harvey Carney"")",27,28,0.3803118908382066,0.0,8,16,0.4757990867579909,0.0
William Harvey Carney,hasParticipantRole,Child,4. hasSurnameAsString,"string): hasSurnameAsString(William Harvey Carney, ""Carney"")",36,37,0.5687830687830688,0.0,9,15,0.4388888888888889,0.0
