TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
William Saunders Crowdy,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasNameVariant,"hasNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",21,22,0.4496434937611408,0.0,14,18,0.503030303030303,0.0
William Saunders Crowdy,instance of,Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",16,17,0.4822843822843823,0.0,15,19,0.5666666666666668,0.0
William Saunders Crowdy,instance of,Person,3. fullNameAsString,"string): fullNameAsString(William Saunders Crowdy, ""William Saunders Crowdy"")",20,28,0.35805422647527907,0.0,12,15,0.4895382395382395,0.0
William Saunders Crowdy,instance of,Person,4. hasSurnameAsString,"string): hasSurnameAsString(William Saunders Crowdy, ""Crowdy"")",25,26,0.43088023088023086,0.0,12,15,0.49372759856630827,0.0
William Saunders Crowdy,instance of,Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(William Saunders Crowdy, ""William"")",29,30,0.5040466779597215,0.0,11,14,0.49273504273504276,0.0
William Saunders Crowdy,instance of,Person,Origin Record Module,,32,26,0.5595959595959595,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(William Saunders Crowdy, ""Maryland"")",29,41,0.4998196248196248,0.0,19,17,0.5900383141762452,0.0
William Saunders Crowdy,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. has_Race,"has_Race(William Saunders Crowdy, ""African-American"")",36,38,0.49242424242424243,0.0,17,15,0.5092243186582809,0.0
William Saunders Crowdy,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasAgeValue,"double): hasAgeValue(William Saunders Crowdy, 60)",24,25,0.46645021645021645,0.0,15,12,0.409297052154195,0.0
William Saunders Crowdy,instance of,Person,2. hasBirthDate,"hasBirthDate(William Saunders Crowdy, ""August 11, 1847"")",31,32,0.3767676767676768,0.0,13,11,0.49603174603174605,0.0
William Saunders Crowdy,instance of,Person,3. hasDeathDate,"hasDeathDate(William Saunders Crowdy, ""August 4, 1908"")",31,32,0.46262626262626255,0.0,13,11,0.41313131313131307,0.0
William Saunders Crowdy,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasSex,"hasSex(William Saunders Crowdy, ""Male"")",20,21,0.42424242424242414,0.0,18,15,0.41452991452991456,0.0
William Saunders Crowdy,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(William Saunders Crowdy, ""escape from slavery, enlistment in the Union Army, founding of the Black Hebrew Israelite movement"")",27,28,0.4809634809634809,0.0,6,8,0.48888888888888893,0.0
William Saunders Crowdy,instance of,Person,2. hasValue,"hasValue(William Saunders Crowdy, ""Enslaved, Free, Soldier, Preacher, Entrepreneur, Pastor"")",27,29,0.404040404040404,0.0,10,13,0.4958937198067633,0.0
William Saunders Crowdy,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasValue,"hasValue(William Saunders Crowdy, ""Soldier, Preacher, Entrepreneur, Pastor"")",27,29,0.404040404040404,0.0,12,16,0.49970760233918127,0.0
William Saunders Crowdy,instance of,Person,InterAgent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(William Saunders Crowdy, ""Union Army"")",23,33,0.5340909090909091,0.0,14,17,0.5022875816993464,0.0
William Saunders Crowdy,instance of,Person,2. isRelationshipTo,"isRelationshipTo(William Saunders Crowdy, ""Union Army"")",33,34,0.5494417862838915,0.0,16,21,0.49646464646464644,0.0
William Saunders Crowdy,instance of,Person,3. isRelationshipFrom,"isRelationshipFrom(Union Army, ""William Saunders Crowdy"")",31,32,0.536075036075036,0.0,13,20,0.5070175438596491,0.0
William Saunders Crowdy,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
William Saunders Crowdy,instance of,Person,1. hasParticipantRoleType,"hasParticipantRoleType(William Saunders Crowdy, ""Founder"")",28,29,0.5574242424242425,0.0,19,17,0.5900383141762452,0.0
William Saunders Crowdy,instance of,Person,2. roleProvidedBy,"roleProvidedBy(William Saunders Crowdy, ""Founding of the Church of God and Saints of Christ and the Black Hebrew Israelite movement"")",14,15,0.3719548425430778,0.0,9,8,0.5150375939849624,0.0
William Saunders Crowdy,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasNameVariant,"hasNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",35,36,0.6339869281045751,0.0,9,14,0.4873737373737373,0.0
William Saunders Crowdy,hasSex,Male,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",25,26,0.6068376068376068,0.0,8,12,0.4855555555555555,0.0
William Saunders Crowdy,hasSex,Male,3. fullNameAsString,"string): fullNameAsString(William Saunders Crowdy, ""William Saunders Crowdy"")",24,25,0.4795321637426901,0.0,7,12,0.4852092352092352,0.0
William Saunders Crowdy,hasSex,Male,4. hasSurnameAsString,"string): hasSurnameAsString(William Saunders Crowdy, ""Crowdy"")",37,38,0.6904761904761904,0.0,9,11,0.48835125448028666,0.0
William Saunders Crowdy,hasSex,Male,5. hasFirstnameAsString,"string): hasFirstnameAsString(William Saunders Crowdy, ""William"")",28,36,0.6135265700483091,0.0,9,11,0.48760683760683765,0.0
William Saunders Crowdy,hasSex,Male,Origin Record Module,,8,8,0.4055555555555556,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(William Saunders Crowdy, ""Maryland"")",13,14,0.3055555555555555,0.0,10,14,0.48946360153256707,0.0
William Saunders Crowdy,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. has_Race,"has_Race(William Saunders Crowdy, ""African-American"")",47,50,0.5909090909090909,0.0,11,11,0.49109014675052415,0.0
William Saunders Crowdy,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasAgeValue,"double): hasAgeValue(William Saunders Crowdy, 60)",40,42,0.6507936507936508,0.0,11,12,0.4926303854875283,0.0
William Saunders Crowdy,hasSex,Male,2. hasBirthDate,"hasBirthDate(William Saunders Crowdy, ""August 11, 1847"")",38,40,0.5666666666666667,0.0,10,7,0.4900793650793651,0.0
William Saunders Crowdy,hasSex,Male,3. hasDeathDate,"hasDeathDate(William Saunders Crowdy, ""August 4, 1908"")",38,40,0.6444444444444445,0.0,10,7,0.4904040404040404,0.0
William Saunders Crowdy,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasSex,"hasSex(William Saunders Crowdy, ""Male"")",80,100,0.8888888888888888,1.0,19,100,0.49786324786324787,0.33517574332792605
William Saunders Crowdy,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(William Saunders Crowdy, ""escape from slavery, enlistment in the Union Army, founding of the Black Hebrew Israelite movement"")",31,32,0.6752136752136751,0.0,4,6,0.47888888888888886,0.0
William Saunders Crowdy,hasSex,Male,2. hasValue,"hasValue(William Saunders Crowdy, ""Enslaved, Free, Soldier, Preacher, Entrepreneur, Pastor"")",47,50,0.5909090909090909,0.0,6,7,0.5942028985507246,0.0
William Saunders Crowdy,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasValue,"hasValue(William Saunders Crowdy, ""Soldier, Preacher, Entrepreneur, Pastor"")",47,50,0.5909090909090909,0.0,7,8,0.5964912280701754,0.0
William Saunders Crowdy,hasSex,Male,InterAgent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(William Saunders Crowdy, ""Union Army"")",21,27,0.5972222222222222,0.0,8,12,0.4869281045751634,0.0
William Saunders Crowdy,hasSex,Male,2. isRelationshipTo,"isRelationshipTo(William Saunders Crowdy, ""Union Army"")",16,17,0.44152046783625726,0.0,10,11,0.4904040404040404,0.0
William Saunders Crowdy,hasSex,Male,3. isRelationshipFrom,"isRelationshipFrom(Union Army, ""William Saunders Crowdy"")",15,15,0.43650793650793646,0.0,10,11,0.489766081871345,0.0
William Saunders Crowdy,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasSex,Male,1. hasParticipantRoleType,"hasParticipantRoleType(William Saunders Crowdy, ""Founder"")",26,27,0.54,0.0,10,10,0.6005747126436781,0.0
William Saunders Crowdy,hasSex,Male,2. roleProvidedBy,"roleProvidedBy(William Saunders Crowdy, ""Founding of the Church of God and Saints of Christ and the Black Hebrew Israelite movement"")",9,9,0.40849673202614384,0.0,4,5,0.47974101921470336,0.0
William Saunders Crowdy,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasNameVariant,"hasNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",51,53,0.6145969498910675,0.0,11,19,0.5585858585858586,0.0
William Saunders Crowdy,hasParticipantRole,Child,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",45,47,0.58005698005698,0.0,10,15,0.5344444444444445,0.0
William Saunders Crowdy,hasParticipantRole,Child,3. fullNameAsString,"string): fullNameAsString(William Saunders Crowdy, ""William Saunders Crowdy"")",27,28,0.3803118908382066,0.0,10,12,0.5463203463203463,0.0
William Saunders Crowdy,hasParticipantRole,Child,4. hasSurnameAsString,"string): hasSurnameAsString(William Saunders Crowdy, ""Crowdy"")",36,37,0.5687830687830688,0.0,12,15,0.4383512544802867,0.0
William Saunders Crowdy,hasParticipantRole,Child,5. hasFirstnameAsString,"string): hasFirstnameAsString(William Saunders Crowdy, ""William"")",34,40,0.5967793880837359,0.0,11,14,0.43760683760683755,0.0
William Saunders Crowdy,hasParticipantRole,Child,Origin Record Module,,42,32,0.5388888888888889,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(William Saunders Crowdy, ""Maryland"")",33,34,0.49074074074074076,0.0,10,10,0.3114942528735632,0.0
William Saunders Crowdy,hasParticipantRole,Child,Race Record Module,,33,22,0.5,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. has_Race,"has_Race(William Saunders Crowdy, ""African-American"")",41,43,0.6274651274651274,0.0,14,15,0.6251572327044025,0.0
William Saunders Crowdy,hasParticipantRole,Child,Age Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasAgeValue,"double): hasAgeValue(William Saunders Crowdy, 60)",38,45,0.5873015873015873,0.0,15,16,0.4605442176870748,0.0
William Saunders Crowdy,hasParticipantRole,Child,2. hasBirthDate,"hasBirthDate(William Saunders Crowdy, ""August 11, 1847"")",48,50,0.662962962962963,0.0,13,14,0.6238095238095238,0.0
William Saunders Crowdy,hasParticipantRole,Child,3. hasDeathDate,"hasDeathDate(William Saunders Crowdy, ""August 4, 1908"")",48,50,0.6592592592592593,0.0,13,15,0.6242424242424243,0.0
William Saunders Crowdy,hasParticipantRole,Child,Sex Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasSex,"hasSex(William Saunders Crowdy, ""Male"")",30,31,0.5,0.0,18,20,0.6341880341880342,0.0
William Saunders Crowdy,hasParticipantRole,Child,Person Status Record Module,,40,22,0.5648148148148149,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasStatusGeneratedEvent,"hasStatusGeneratedEvent(William Saunders Crowdy, ""escape from slavery, enlistment in the Union Army, founding of the Black Hebrew Israelite movement"")",36,37,0.58005698005698,0.0,5,7,0.6111111111111112,0.0
William Saunders Crowdy,hasParticipantRole,Child,2. hasValue,"hasValue(William Saunders Crowdy, ""Enslaved, Free, Soldier, Preacher, Entrepreneur, Pastor"")",41,43,0.6262626262626262,0.0,8,9,0.5514492753623189,0.0
William Saunders Crowdy,hasParticipantRole,Child,Occupation Record Module,,38,33,0.5686026936026937,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasValue,"hasValue(William Saunders Crowdy, ""Soldier, Preacher, Entrepreneur, Pastor"")",41,43,0.6262626262626262,0.0,10,11,0.5552631578947369,0.0
William Saunders Crowdy,hasParticipantRole,Child,InterAgent Relationship Record Module,,33,25,0.5373450373450374,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasInterAgentRelationshipType,"hasInterAgentRelationshipType(William Saunders Crowdy, ""Union Army"")",36,45,0.5812856125356126,0.0,11,14,0.43692810457516335,0.0
William Saunders Crowdy,hasParticipantRole,Child,2. isRelationshipTo,"isRelationshipTo(William Saunders Crowdy, ""Union Army"")",38,44,0.5384990253411306,0.0,13,14,0.5409090909090909,0.0
William Saunders Crowdy,hasParticipantRole,Child,3. isRelationshipFrom,"isRelationshipFrom(Union Army, ""William Saunders Crowdy"")",36,42,0.5439153439153439,0.0,13,14,0.4397660818713451,0.0
William Saunders Crowdy,hasParticipantRole,Child,Participant Role Record Module,,62,62,0.688888888888889,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Child,1. hasParticipantRoleType,"hasParticipantRoleType(William Saunders Crowdy, ""Founder"")",84,86,0.9066666666666666,0.0,13,17,0.5505747126436781,0.0
William Saunders Crowdy,hasParticipantRole,Child,2. roleProvidedBy,"roleProvidedBy(William Saunders Crowdy, ""Founding of the Church of God and Saints of Christ and the Black Hebrew Israelite movement"")",23,29,0.39063180827886707,0.0,6,8,0.5458646616541354,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,1. hasNameVariant,"hasNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",51,53,0.6145969498910675,0.0,22,30,0.47272727272727266,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,2. hasPreferredNameVariant,"hasPreferredNameVariant(William Saunders Crowdy, ""William Saunders Crowdy"")",45,47,0.58005698005698,0.0,22,29,0.5517948717948719,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,3. fullNameAsString,"string): fullNameAsString(William Saunders Crowdy, ""William Saunders Crowdy"")",27,28,0.3803118908382066,0.0,20,29,0.43217893217893216,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,4. hasSurnameAsString,"string): hasSurnameAsString(William Saunders Crowdy, ""Crowdy"")",36,37,0.5687830687830688,0.0,21,28,0.43128520225294426,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,5. hasFirstnameAsString,"string): hasFirstnameAsString(William Saunders Crowdy, ""William"")",34,40,0.5967793880837359,0.0,20,27,0.4295482295482295,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,Origin Record Module,,42,32,0.5388888888888889,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,1. refersToPlaceOfOrigin,"refersToPlaceOfOrigin(William Saunders Crowdy, ""Maryland"")",33,34,0.49074074074074076,0.0,27,26,0.5820470717022441,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,Race Record Module,,33,22,0.5,0.0,0,0,0.0,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,1. has_Race,"has_Race(William Saunders Crowdy, ""African-American"")",41,43,0.6274651274651274,0.0,26,28,0.4954450161997332,0.0
William Saunders Crowdy,hasParticipantRole,Deceased Person,Age Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
