TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Free Frank McWorter,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Name,"has_Name(Frank McWorter, ""Frank McWorter"")",27,29,0.404040404040404,0.0,17,21,0.5174603174603175,0.0
Free Frank McWorter,instance of,Person,2. has_Surname,"has_Surname(Frank McWorter, ""McWorter"")",24,25,0.47056277056277057,0.0,13,19,0.5205128205128206,0.0
Free Frank McWorter,instance of,Person,3. has_First_Name,"has_First_Name(Frank McWorter, ""Frank"")",36,37,0.3719548425430778,0.0,18,17,0.5064102564102564,0.0
Free Frank McWorter,instance of,Person,4. has_Alternate_Name,"has_Alternate_Name(Frank McWorter, ""Free Frank"").",25,32,0.49927849927849927,0.0,15,14,0.4994331065759637,0.0
Free Frank McWorter,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Frank McWorter, ""Platting and registering a town, New Philadelphia in Illinois"").",29,30,0.4239789196310935,0.0,11,12,0.5751633986928105,0.0
Free Frank McWorter,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Sex,"has_Sex(Frank McWorter, ""Male"").",19,20,0.41313131313131307,0.0,16,18,0.5298611111111111,0.0
Free Frank McWorter,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Occupation,"has_Occupation(Frank McWorter, ""Saltpeter operator"").",21,22,0.5162210338680927,0.0,10,15,0.41404612159329135,0.0
Free Frank McWorter,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Age,"has_Age(Frank McWorter, 77)",19,30,0.41313131313131307,0.0,18,19,0.5216049382716049,0.0
Free Frank McWorter,instance of,Person,2. has_BirthDate,"has_BirthDate(Frank McWorter, ""1777"")",30,31,0.37121212121212127,0.0,14,15,0.5082582582582583,0.0
Free Frank McWorter,instance of,Person,3. has_DeathDate,"has_DeathDate(Frank McWorter, ""September 7, 1854"").",30,31,0.45568181818181824,0.0,11,12,0.5104575163398692,0.0
Free Frank McWorter,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Frank McWorter, ""African American"").",32,33,0.5040404040404041,0.0,13,15,0.508641975308642,0.0
Free Frank McWorter,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Free Frank McWorter,instance of,Person,1. has_Person_Status,"has_Person_Status(Frank McWorter, ""Enslaved Person""), has_Person_Status(Frank McWorter, ""Free Man"")",19,27,0.5040404040404041,0.0,11,100,0.5757575757575757,0.18068688270171662
Free Frank McWorter,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Purchase of freedom""), has_Status_Generating_Event(Free Man, ""Purchase of freedom"").",24,25,0.4707070707070707,0.0,9,100,0.570940170940171,0.16109909688248117
Free Frank McWorter,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Name,"has_Name(Frank McWorter, ""Frank McWorter"")",47,50,0.5909090909090909,0.0,13,15,0.49603174603174605,0.0
Free Frank McWorter,hasSex,Male,2. has_Surname,"has_Surname(Frank McWorter, ""McWorter"")",50,53,0.6507936507936508,0.0,9,13,0.49786324786324787,0.0
Free Frank McWorter,hasSex,Male,3. has_First_Name,"has_First_Name(Frank McWorter, ""Frank"")",35,45,0.5588235294117647,0.0,9,12,0.5170940170940171,0.0
Free Frank McWorter,hasSex,Male,4. has_Alternate_Name,"has_Alternate_Name(Frank McWorter, ""Free Frank"").",30,31,0.6190476190476191,0.0,11,14,0.6037414965986394,0.0
Free Frank McWorter,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Participant_Role,"has_Participant_Role(Frank McWorter, ""Platting and registering a town, New Philadelphia in Illinois"").",28,29,0.5434782608695653,0.0,8,8,0.5130718954248367,0.0
Free Frank McWorter,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Sex,"has_Sex(Frank McWorter, ""Male"").",75,80,0.8666666666666667,0.0,22,100,0.5034722222222222,0.3799783615910079
Free Frank McWorter,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Occupation,"has_Occupation(Frank McWorter, ""Saltpeter operator"").",26,27,0.5588235294117647,0.0,14,15,0.49109014675052415,0.0
Free Frank McWorter,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Age,"has_Age(Frank McWorter, 77)",50,53,0.6,0.0,13,14,0.5246913580246914,0.0
Free Frank McWorter,hasSex,Male,2. has_BirthDate,"has_BirthDate(Frank McWorter, ""1777"")",36,38,0.5625,0.0,10,11,0.518018018018018,0.0
Free Frank McWorter,hasSex,Male,3. has_DeathDate,"has_DeathDate(Frank McWorter, ""September 7, 1854"").",36,38,0.6388888888888888,0.0,7,8,0.49183006535947715,0.0
Free Frank McWorter,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Race_or_Color,"has_Race_or_Color(Frank McWorter, ""African American"").",31,32,0.6222222222222222,0.0,10,15,0.6080246913580246,0.0
Free Frank McWorter,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
Free Frank McWorter,hasSex,Male,1. has_Person_Status,"has_Person_Status(Frank McWorter, ""Enslaved Person""), has_Person_Status(Frank McWorter, ""Free Man"")",31,32,0.6222222222222222,0.0,6,10,0.5134680134680135,0.0
Free Frank McWorter,hasSex,Male,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Purchase of freedom""), has_Status_Generating_Event(Free Man, ""Purchase of freedom"").",28,29,0.6666666666666666,0.0,4,8,0.47991452991452993,0.0
Free Frank McWorter,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Free Frank McWorter,hasParticipantRole,Child,1. has_Name,"has_Name(Frank McWorter, ""Frank McWorter"")",34,36,0.5774410774410774,0.0,4,7,0.407936507936508,0.0
Free Frank McWorter,hasParticipantRole,Child,2. has_Surname,"has_Surname(Frank McWorter, ""McWorter"")",38,39,0.582010582010582,0.0,5,6,0.4085470085470086,0.0
Free Frank McWorter,hasParticipantRole,Child,3. has_First_Name,"has_First_Name(Frank McWorter, ""Frank"")",40,41,0.596677559912854,0.0,9,12,0.48376068376068376,0.0
Free Frank McWorter,hasParticipantRole,Child,4. has_Alternate_Name,"has_Alternate_Name(Frank McWorter, ""Free Frank"").",36,42,0.6207311207311207,0.0,7,9,0.4802721088435374,0.0
Free Frank McWorter,hasParticipantRole,Child,Participant Role Record Module,,62,62,0.688888888888889,0.0,0,0,0.0,0.0
Free Frank McWorter,hasParticipantRole,Child,1. has_Participant_Role,"has_Participant_Role(Frank McWorter, ""Platting and registering a town, New Philadelphia in Illinois"").",88,90,0.927536231884058,0.0,7,10,0.6130718954248366,0.0
Free Frank McWorter,hasParticipantRole,Child,Sex Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
Free Frank McWorter,hasParticipantRole,Child,1. has_Sex,"has_Sex(Frank McWorter, ""Male"").",29,30,0.48888888888888893,0.0,11,12,0.41041666666666665,0.0
Free Frank McWorter,hasParticipantRole,Child,Occupation Record Module,,38,33,0.5686026936026937,0.0,0,0,0.0,0.0
Free Frank McWorter,hasParticipantRole,Child,1. has_Occupation,"has_Occupation(Frank McWorter, ""Saltpeter operator"").",46,47,0.6145969498910675,0.0,10,11,0.4792452830188679,0.0
Free Frank McWorter,hasParticipantRole,Child,Age Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
Free Frank McWorter,hasParticipantRole,Child,1. has_Age,"has_Age(Frank McWorter, 77)",29,37,0.5407407407407407,0.0,6,7,0.41234567901234565,0.0
