TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
George Freeman Bragg Jr,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
George Freeman Bragg Jr,instance of,Person,1. has_Name,"has_Name(George Freeman Bragg, ""George Freeman Bragg"")",27,29,0.404040404040404,0.0,13,23,0.508641975308642,0.0
George Freeman Bragg Jr,instance of,Person,2. has_Surname,"has_Surname(George Freeman Bragg, ""Bragg"")",24,25,0.47056277056277057,0.0,12,21,0.5174603174603175,0.0
George Freeman Bragg Jr,instance of,Person,3. has_First_Name,"has_First_Name(George Freeman Bragg, ""George"").",36,37,0.3719548425430778,0.0,15,20,0.5005910165484634,0.0
George Freeman Bragg Jr,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
George Freeman Bragg Jr,instance of,Person,1. has_Participant_Role,"has_Participant_Role(George Freeman Bragg, ""Priest""), has_Participant_Role(George Freeman Bragg, ""Journalist""), has_Participant_Role(George Freeman Bragg, ""Social Activist""), has_Participant_Role(George Freeman Bragg, ""Historian"").",29,30,0.4239789196310935,0.0,5,11,0.5642135642135643,0.0
George Freeman Bragg Jr,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
George Freeman Bragg Jr,instance of,Person,1. has_Sex,"has_Sex(George Freeman Bragg, ""Male"").",19,20,0.41313131313131307,0.0,14,15,0.5216374269005848,0.0
George Freeman Bragg Jr,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
George Freeman Bragg Jr,instance of,Person,1. has_Occupation,"has_Occupation(George Freeman Bragg, ""Priest""), has_Occupation(George Freeman Bragg, ""Journalist""), has_Occupation(George Freeman Bragg, ""Social Activist""), has_Occupation(George Freeman Bragg, ""Historian"").",21,22,0.5162210338680927,0.0,6,12,0.5096618357487922,0.0
George Freeman Bragg Jr,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
George Freeman Bragg Jr,instance of,Person,1. has_Age,"has_Age(George Freeman Bragg, 77)",19,30,0.41313131313131307,0.0,15,16,0.4292929292929293,0.0
George Freeman Bragg Jr,instance of,Person,2. has_BirthDate,"has_BirthDate(George Freeman Bragg, ""January 25, 1863"")",30,31,0.37121212121212127,0.0,10,14,0.5747474747474748,0.0
George Freeman Bragg Jr,instance of,Person,3. has_DeathDate,"has_DeathDate(George Freeman Bragg, ""March 12, 1940"").",30,31,0.45568181818181824,0.0,10,11,0.508641975308642,0.0
George Freeman Bragg Jr,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
George Freeman Bragg Jr,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(George Freeman Bragg, ""African-American"").",32,33,0.5040404040404041,0.0,12,13,0.5055555555555555,0.0
George Freeman Bragg Jr,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
