TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Harriet Evans,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. has_Name,"has_Name(Harriet Evans Paine, ""Harriet Evans Paine"")",27,29,0.404040404040404,0.0,17,24,0.5764957264957266,0.0
Harriet Evans,instance of,Person,2. has_Surname,"has_Surname(Harriet Evans Paine, ""Paine"")",24,25,0.47056277056277057,0.0,17,22,0.5047425474254742,0.0
Harriet Evans,instance of,Person,3. has_First_Name,"has_First_Name(Harriet Evans Paine, ""Harriet"")",36,37,0.3719548425430778,0.0,15,20,0.501207729468599,0.0
Harriet Evans,instance of,Person,4. has_Alternate_Name,"has_Alternate_Name(Harriet Evans Paine, ""Aunt Harriet"")",25,32,0.49927849927849927,0.0,13,16,0.49646464646464644,0.0
Harriet Evans,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Harriet Evans Paine, ""Enslaver or Owner"")",24,29,0.520933014354067,0.0,12,13,0.4994227994227994,0.0
Harriet Evans,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Harriet Evans Paine, ""Swan and Jerusha Hardin""), is_Relationship_To(Harriet Evans Paine, ""Henry Rowe""), is_Relationship_To(Harriet Evans Paine, ""Mr. Green"")",31,32,0.536075036075036,0.0,7,14,0.5669841269841269,0.0
Harriet Evans,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Harriet Evans,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Harriet Evans Paine, ""Servant""), has_Participant_Role(Harriet Evans Paine, ""Thimble Girl""), has_Participant_Role(Harriet Evans Paine, ""Server to Mexican officers"")",29,30,0.4239789196310935,0.0,6,11,0.5664251207729468,0.0
