TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Jane Minor,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Name,"has_Name(Jane Minor, ""Jane Minor"")",27,29,0.404040404040404,0.0,15,16,0.526797385620915,0.0
Jane Minor,instance of,Person,2. has_Surname,"has_Surname(Jane Minor, ""Minor"")",24,25,0.47056277056277057,0.0,16,14,0.5138888888888888,0.0
Jane Minor,instance of,Person,3. has_First_Name,"has_First_Name(Jane Minor, ""Jane"")",36,37,0.3719548425430778,0.0,20,19,0.511437908496732,0.0
Jane Minor,instance of,Person,4. has_Alternate_Name,"has_Alternate_Name(Jane Minor, ""Gensey Snow"").",25,32,0.49927849927849927,0.0,15,17,0.501207729468599,0.0
Jane Minor,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Jane Minor, ""Enslaver or Owner"")",24,29,0.520933014354067,0.0,14,14,0.5022875816993464,0.0
Jane Minor,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Jane Minor, ""Benjamin Harris May"").",31,32,0.536075036075036,0.0,13,18,0.508641975308642,0.0
Jane Minor,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Sex,"has_Sex(Jane Minor, ""Female"").",19,20,0.41313131313131307,0.0,11,19,0.4333333333333333,0.0
Jane Minor,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Occupation,"has_Occupation(Jane Minor, ""Healer, Slave Emancipator"").",21,22,0.5162210338680927,0.0,10,18,0.5075396825396825,0.0
Jane Minor,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Age,"has_Age(Jane Minor, 66)",19,30,0.41313131313131307,0.0,14,15,0.4323671497584541,0.0
Jane Minor,instance of,Person,2. has_BirthDate,"has_BirthDate(Jane Minor, ""Around 1792"")",30,31,0.37121212121212127,0.0,17,14,0.5194444444444445,0.0
Jane Minor,instance of,Person,3. has_DeathDate,"has_DeathDate(Jane Minor, ""1858"").",30,31,0.45568181818181824,0.0,10,11,0.41830065359477125,0.0
Jane Minor,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Jane Minor, ""African-American"").",32,33,0.5040404040404041,0.0,14,20,0.5111111111111111,0.0
Jane Minor,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Jane Minor,instance of,Person,1. has_Person_Status,"has_Person_Status(Jane Minor, ""Enslaved Person, Medical Practitioner, Slave Emancipator"")",19,27,0.5040404040404041,0.0,13,100,0.5780274656679151,0.24395572500006343
Jane Minor,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Granted freedom by Benjamin May during a fever epidemic in 1825""), has_Status_Generating_Event(Medical Practitioner, ""Emancipation""), has_Status_Generating_Event(Slave Emancipator, ""Used her earnings to purchase and free at least sixteen slaves"").",24,25,0.4707070707070707,0.0,4,100,0.5623814941221085,0.11775960920016999
Jane Minor,hasSex,Female,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Jane Minor,hasSex,Female,1. has_Name,"has_Name(Jane Minor, ""Jane Minor"")",47,50,0.5909090909090909,0.0,15,24,0.511437908496732,0.0
Jane Minor,hasSex,Female,2. has_Surname,"has_Surname(Jane Minor, ""Minor"")",50,53,0.6507936507936508,0.0,16,21,0.5138888888888888,0.0
