TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Thomas Sims,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Name,"has_Name(Thomas Sims, ""Thomas Sims"")",27,29,0.404040404040404,0.0,14,23,0.4166666666666667,0.0
Thomas Sims,instance of,Person,2. has_Surname,"has_Surname(Thomas Sims, ""Sims"")",24,25,0.47056277056277057,0.0,11,21,0.5298611111111111,0.0
Thomas Sims,instance of,Person,3. has_First_Name,"has_First_Name(Thomas Sims, ""Thomas"").",36,37,0.3719548425430778,0.0,14,19,0.5073099415204678,0.0
Thomas Sims,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Thomas Sims, ""Fugitive Slave""), has_Interagent_Relationship_Type_To(Thomas Sims, ""Judge"")",24,29,0.520933014354067,0.0,8,11,0.4911111111111111,0.0
Thomas Sims,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Thomas Sims, ""Anthony Burns""), is_Relationship_To(Thomas Sims, ""Edward G. Loring"").",31,32,0.536075036075036,0.0,9,15,0.49411764705882355,0.0
Thomas Sims,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Thomas Sims, ""Participant in significant events leading to the American Civil War""), has_Participant_Role(Thomas Sims, ""Arrest under the Fugitive Slave Act of 1850""), has_Participant_Role(Thomas Sims, ""Forced return to enslavement"").",29,30,0.4239789196310935,0.0,5,7,0.563429571303587,0.0
Thomas Sims,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Sex,"has_Sex(Thomas Sims, ""Male"").",19,20,0.41313131313131307,0.0,11,20,0.4233716475095785,0.0
Thomas Sims,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Occupation,"has_Occupation(Thomas Sims, ""Slave""), has_Occupation(Thomas Sims, ""Escaped Slave""), has_Occupation(Thomas Sims, ""Employee at U.S. Department of Justice"").",21,22,0.5162210338680927,0.0,5,12,0.3975468975468976,0.0
Thomas Sims,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Thomas Sims, ""African American"").",32,33,0.5040404040404041,0.0,14,15,0.4150326797385621,0.0
Thomas Sims,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Thomas Sims,instance of,Person,1. has_Person_Status,"has_Person_Status(Thomas Sims, ""Slave""), has_Person_Status(Thomas Sims, ""Escaped Slave""), has_Person_Status(Thomas Sims, ""Recaptured Slave""), has_Person_Status(Thomas Sims, ""Employee at U.S. Department of Justice"")",19,27,0.5040404040404041,0.0,5,12,0.5649013499480788,0.0
Thomas Sims,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Slave, ""Born into slavery""), has_Status_Generating_Event(Escaped Slave, ""Escape to Boston""), has_Status_Generating_Event(Recaptured Slave, ""Recapture under Fugitive Slave Act""), has_Status_Generating_Event(Employee at U.S. Department of Justice, ""Appointment in 1877"").",24,25,0.4707070707070707,0.0,3,7,0.4833894500561167,0.0
Thomas Sims,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Name,"has_Name(Thomas Sims, ""Thomas Sims"")",47,50,0.5909090909090909,0.0,10,17,0.5185185185185185,0.0
Thomas Sims,hasSex,Male,2. has_Surname,"has_Surname(Thomas Sims, ""Sims"")",50,53,0.6507936507936508,0.0,11,15,0.5208333333333334,0.0
Thomas Sims,hasSex,Male,3. has_First_Name,"has_First_Name(Thomas Sims, ""Thomas"").",35,45,0.5588235294117647,0.0,10,13,0.5175438596491228,0.0
Thomas Sims,hasSex,Male,Interagent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Thomas Sims, ""Fugitive Slave""), has_Interagent_Relationship_Type_To(Thomas Sims, ""Judge"")",18,23,0.5906432748538012,0.0,5,8,0.48022222222222216,0.0
Thomas Sims,hasSex,Male,2. is_Relationship_To,"is_Relationship_To(Thomas Sims, ""Anthony Burns""), is_Relationship_To(Thomas Sims, ""Edward G. Loring"").",15,15,0.43650793650793646,0.0,4,6,0.4820261437908497,0.0
Thomas Sims,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Participant_Role,"has_Participant_Role(Thomas Sims, ""Participant in significant events leading to the American Civil War""), has_Participant_Role(Thomas Sims, ""Arrest under the Fugitive Slave Act of 1850""), has_Participant_Role(Thomas Sims, ""Forced return to enslavement"").",28,29,0.5434782608695653,0.0,2,5,0.5872703412073491,0.0
Thomas Sims,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Sex,"has_Sex(Thomas Sims, ""Male"").",75,80,0.8666666666666667,0.0,24,100,0.5229885057471265,0.3799783615910079
Thomas Sims,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Occupation,"has_Occupation(Thomas Sims, ""Slave""), has_Occupation(Thomas Sims, ""Escaped Slave""), has_Occupation(Thomas Sims, ""Employee at U.S. Department of Justice"").",26,27,0.5588235294117647,0.0,4,10,0.5898268398268398,0.0
Thomas Sims,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Race_or_Color,"has_Race_or_Color(Thomas Sims, ""African American"").",31,32,0.6222222222222222,0.0,11,12,0.49183006535947715,0.0
Thomas Sims,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
Thomas Sims,hasSex,Male,1. has_Person_Status,"has_Person_Status(Thomas Sims, ""Slave""), has_Person_Status(Thomas Sims, ""Escaped Slave""), has_Person_Status(Thomas Sims, ""Recaptured Slave""), has_Person_Status(Thomas Sims, ""Employee at U.S. Department of Justice"")",31,32,0.6222222222222222,0.0,3,8,0.47689511941848384,0.0
Thomas Sims,hasSex,Male,2. has_Status_Generating_Event,"has_Status_Generating_Event(Slave, ""Born into slavery""), has_Status_Generating_Event(Escaped Slave, ""Escape to Boston""), has_Status_Generating_Event(Recaptured Slave, ""Recapture under Fugitive Slave Act""), has_Status_Generating_Event(Employee at U.S. Department of Justice, ""Appointment in 1877"").",28,29,0.6666666666666666,0.0,2,4,0.47558922558922556,0.0
Thomas Sims,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Name,"has_Name(Thomas Sims, ""Thomas Sims"")",34,36,0.5774410774410774,0.0,10,16,0.4851851851851852,0.0
Thomas Sims,hasParticipantRole,Child,2. has_Surname,"has_Surname(Thomas Sims, ""Sims"")",38,39,0.582010582010582,0.0,11,14,0.41041666666666665,0.0
Thomas Sims,hasParticipantRole,Child,3. has_First_Name,"has_First_Name(Thomas Sims, ""Thomas"").",40,41,0.596677559912854,0.0,9,13,0.4842105263157895,0.0
Thomas Sims,hasParticipantRole,Child,Interagent Relationship Record Module,,36,25,0.5758615758615758,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Thomas Sims, ""Fugitive Slave""), has_Interagent_Relationship_Type_To(Thomas Sims, ""Judge"")",36,40,0.5963519910888332,0.0,6,11,0.43022222222222223,0.0
Thomas Sims,hasParticipantRole,Child,2. is_Relationship_To,"is_Relationship_To(Thomas Sims, ""Anthony Burns""), is_Relationship_To(Thomas Sims, ""Edward G. Loring"").",36,42,0.5439153439153439,0.0,7,9,0.43202614379084964,0.0
Thomas Sims,hasParticipantRole,Child,Participant Role Record Module,,62,62,0.688888888888889,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Participant_Role,"has_Participant_Role(Thomas Sims, ""Participant in significant events leading to the American Civil War""), has_Participant_Role(Thomas Sims, ""Arrest under the Fugitive Slave Act of 1850""), has_Participant_Role(Thomas Sims, ""Forced return to enslavement"").",88,90,0.927536231884058,0.0,4,6,0.5398950131233596,0.0
Thomas Sims,hasParticipantRole,Child,Sex Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Sex,"has_Sex(Thomas Sims, ""Male"").",29,30,0.48888888888888893,0.0,18,14,0.4114942528735632,0.0
Thomas Sims,hasParticipantRole,Child,Occupation Record Module,,38,33,0.5686026936026937,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Occupation,"has_Occupation(Thomas Sims, ""Slave""), has_Occupation(Thomas Sims, ""Escaped Slave""), has_Occupation(Thomas Sims, ""Employee at U.S. Department of Justice"").",46,47,0.6145969498910675,0.0,5,10,0.6086580086580087,0.0
Thomas Sims,hasParticipantRole,Child,Race Record Module,,33,22,0.5,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Race_or_Color,"has_Race_or_Color(Thomas Sims, ""African American"").",37,43,0.6185185185185186,0.0,11,12,0.4594771241830065,0.0
Thomas Sims,hasParticipantRole,Child,Person Status Record Module,,40,22,0.5648148148148149,0.0,0,0,0.0,0.0
Thomas Sims,hasParticipantRole,Child,1. has_Person_Status,"has_Person_Status(Thomas Sims, ""Slave""), has_Person_Status(Thomas Sims, ""Escaped Slave""), has_Person_Status(Thomas Sims, ""Recaptured Slave""), has_Person_Status(Thomas Sims, ""Employee at U.S. Department of Justice"")",42,43,0.6597643097643098,0.0,4,8,0.6062305295950156,0.0
