TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Elizabeth Key,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Elizabeth Key,instance of,Person,1. has_Name,"has_Name(Elizabeth Hobbs Keckley, ""Elizabeth Hobbs Keckley"")",27,29,0.404040404040404,0.0,9,16,0.4055555555555556,0.0
Elizabeth Key,instance of,Person,2. has_Surname,"has_Surname(Elizabeth Hobbs Keckley, ""Keckley"")",24,25,0.47056277056277057,0.0,8,15,0.5132387706855792,0.0
Elizabeth Key,instance of,Person,3. has_First_Name,"has_First_Name(Elizabeth Hobbs Keckley, ""Elizabeth"").",36,37,0.3719548425430778,0.0,10,18,0.49737945492662466,0.0
Elizabeth Key,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Elizabeth Key,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Elizabeth Hobbs Keckley, ""Personal Dressmaker and Confidante"")",24,29,0.520933014354067,0.0,12,12,0.49478458049886626,0.0
Elizabeth Key,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Elizabeth Hobbs Keckley, ""Mary Todd Lincoln"").",31,32,0.536075036075036,0.0,11,15,0.49273504273504276,0.0
Elizabeth Key,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Elizabeth Key,instance of,Person,1. has_Sex,"has_Sex(Elizabeth Hobbs Keckley, ""Female"").",19,20,0.41313131313131307,0.0,8,14,0.41214470284237725,0.0
Elizabeth Key,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Elizabeth Key,instance of,Person,1. has_Occupation,"has_Occupation(Elizabeth Hobbs Keckley, ""Seamstress, Activist, Writer, Dressmaker"").",21,22,0.5162210338680927,0.0,7,12,0.4047619047619047,0.0
Elizabeth Key,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Elizabeth Key,instance of,Person,1. has_Age,"has_Age(Elizabeth Hobbs Keckley, 89)",19,30,0.41313131313131307,0.0,10,15,0.4166666666666667,0.0
Elizabeth Key,instance of,Person,2. has_BirthDate,"has_BirthDate(Elizabeth Hobbs Keckley, ""February 1818"")",30,31,0.37121212121212127,0.0,7,14,0.49646464646464644,0.0
Elizabeth Key,instance of,Person,3. has_DeathDate,"has_DeathDate(Elizabeth Hobbs Keckley, ""May 1907"").",30,31,0.45568181818181824,0.0,7,12,0.40849673202614384,0.0
Elizabeth Key,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
