TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
London Ferrill,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Name,"has_Name(London Ferrill, ""London Ferrill"")",27,29,0.404040404040404,0.0,17,34,0.5174603174603175,0.0
London Ferrill,instance of,Person,2. has_Surname,"has_Surname(London Ferrill, ""Ferrill"")",24,25,0.47056277056277057,0.0,14,31,0.5216374269005848,0.0
London Ferrill,instance of,Person,3. has_First_Name,"has_First_Name(London Ferrill, ""London"").",36,37,0.3719548425430778,0.0,17,29,0.5850948509485095,0.0
London Ferrill,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(London Ferrill, ""Wife"")",24,29,0.520933014354067,0.0,15,16,0.5060263653483993,0.0
London Ferrill,instance of,Person,2. is_Relationship_To,"is_Relationship_To(London Ferrill, ""Wife"").",31,32,0.536075036075036,0.0,16,23,0.5032299741602068,0.0
London Ferrill,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Sex,"has_Sex(London Ferrill, ""Male"").",19,20,0.41313131313131307,0.0,16,30,0.5298611111111111,0.0
London Ferrill,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Occupation,"has_Occupation(London Ferrill, ""Slave, Carpenter, Preacher"").",21,22,0.5162210338680927,0.0,9,20,0.5051001821493625,0.0
London Ferrill,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Age,"has_Age(London Ferrill, 65)",19,30,0.41313131313131307,0.0,18,32,0.5216049382716049,0.0
London Ferrill,instance of,Person,2. has_BirthDate,"has_BirthDate(London Ferrill, ""1789"")",30,31,0.37121212121212127,0.0,14,26,0.5894894894894895,0.0
London Ferrill,instance of,Person,3. has_DeathDate,"has_DeathDate(London Ferrill, ""October 12, 1854"").",30,31,0.45568181818181824,0.0,11,20,0.5111111111111111,0.0
London Ferrill,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(London Ferrill, ""Mixed Race"").",32,33,0.5040404040404041,0.0,15,20,0.5125000000000001,0.0
London Ferrill,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
London Ferrill,instance of,Person,1. has_Person_Status,"has_Person_Status(London Ferrill, ""Enslaved Person, Free Man, Preacher"")",19,27,0.5040404040404041,0.0,15,100,0.5833333333333334,0.25969799324016246
London Ferrill,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Wife purchased his freedom""), has_Status_Generating_Event(Free Man, ""Wife purchased his freedom""), has_Status_Generating_Event(Preacher, ""Leading the largest congregation in the state by 1850"").",24,25,0.4707070707070707,0.0,5,100,0.5638888888888888,0.11179411559452257
London Ferrill,instance of,Person,3. recorded_At,"recorded_At(Enslaved Person, ""Wife purchased his freedom""), recorded_At(Free Man, ""Wife purchased his freedom""), recorded_At(Preacher, ""Leading the largest congregation in the state by 1850"").",16,17,0.46645021645021645,0.0,6,100,0.5659722222222222,0.11179411559452257
London Ferrill,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Name,"has_Name(London Ferrill, ""London Ferrill"")",47,50,0.5909090909090909,0.0,13,15,0.49603174603174605,0.0
London Ferrill,hasSex,Male,2. has_Surname,"has_Surname(London Ferrill, ""Ferrill"")",50,53,0.6507936507936508,0.0,14,13,0.5175438596491228,0.0
London Ferrill,hasSex,Male,3. has_First_Name,"has_First_Name(London Ferrill, ""London"").",35,45,0.5588235294117647,0.0,9,12,0.516260162601626,0.0
London Ferrill,hasSex,Male,Interagent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(London Ferrill, ""Wife"")",18,23,0.5906432748538012,0.0,10,10,0.4891713747645951,0.0
London Ferrill,hasSex,Male,2. is_Relationship_To,"is_Relationship_To(London Ferrill, ""Wife"").",15,15,0.43650793650793646,0.0,13,14,0.49547803617571057,0.0
London Ferrill,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Sex,"has_Sex(London Ferrill, ""Male"").",75,80,0.8666666666666667,0.0,22,100,0.5208333333333334,0.3799783615910079
London Ferrill,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Occupation,"has_Occupation(London Ferrill, ""Slave, Carpenter, Preacher"").",26,27,0.5588235294117647,0.0,9,10,0.4886156648451731,0.0
London Ferrill,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Age,"has_Age(London Ferrill, 65)",50,53,0.6,0.0,13,14,0.5246913580246914,0.0
London Ferrill,hasSex,Male,2. has_BirthDate,"has_BirthDate(London Ferrill, ""1789"")",36,38,0.5625,0.0,10,11,0.518018018018018,0.0
London Ferrill,hasSex,Male,3. has_DeathDate,"has_DeathDate(London Ferrill, ""October 12, 1854"").",36,38,0.6388888888888888,0.0,11,12,0.49222222222222217,0.0
London Ferrill,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Race_or_Color,"has_Race_or_Color(London Ferrill, ""Mixed Race"").",31,32,0.6222222222222222,0.0,12,13,0.4930555555555555,0.0
London Ferrill,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
London Ferrill,hasSex,Male,1. has_Person_Status,"has_Person_Status(London Ferrill, ""Enslaved Person, Free Man, Preacher"")",31,32,0.6222222222222222,0.0,8,9,0.4861111111111111,0.0
London Ferrill,hasSex,Male,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Wife purchased his freedom""), has_Status_Generating_Event(Free Man, ""Wife purchased his freedom""), has_Status_Generating_Event(Preacher, ""Leading the largest congregation in the state by 1850"").",28,29,0.6666666666666666,0.0,3,6,0.5888888888888889,0.0
London Ferrill,hasSex,Male,3. recorded_At,"recorded_At(Enslaved Person, ""Wife purchased his freedom""), recorded_At(Free Man, ""Wife purchased his freedom""), recorded_At(Preacher, ""Leading the largest congregation in the state by 1850"").",10,11,0.41269841269841273,0.0,4,6,0.5069444444444444,0.0
London Ferrill,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
London Ferrill,hasParticipantRole,Child,1. has_Name,"has_Name(London Ferrill, ""London Ferrill"")",34,36,0.5774410774410774,0.0,17,21,0.5484126984126984,0.0
London Ferrill,hasParticipantRole,Child,2. has_Surname,"has_Surname(London Ferrill, ""Ferrill"")",38,39,0.582010582010582,0.0,14,19,0.4842105263157895,0.0
London Ferrill,hasParticipantRole,Child,3. has_First_Name,"has_First_Name(London Ferrill, ""London"").",40,41,0.596677559912854,0.0,17,24,0.5577235772357724,0.0
London Ferrill,hasParticipantRole,Child,Interagent Relationship Record Module,,36,25,0.5758615758615758,0.0,0,0,0.0,0.0
London Ferrill,hasParticipantRole,Child,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(London Ferrill, ""Wife"")",36,40,0.5963519910888332,0.0,9,13,0.43917137476459506,0.0
London Ferrill,hasParticipantRole,Child,2. is_Relationship_To,"is_Relationship_To(London Ferrill, ""Wife"").",36,42,0.5439153439153439,0.0,12,19,0.5476744186046512,0.0
London Ferrill,hasParticipantRole,Child,Sex Record Module,,23,23,0.4572984749455338,0.0,0,0,0.0,0.0
