TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Mary Hemings,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Name,"has_Name(Mary Hemings Bell, ""Mary Hemings Bell"")",27,29,0.404040404040404,0.0,15,19,0.5,0.0
Mary Hemings,instance of,Person,2. has_Surname,"has_Surname(Mary Hemings Bell, ""Bell"")",24,25,0.47056277056277057,0.0,14,17,0.5073099415204678,0.0
Mary Hemings,instance of,Person,3. has_First_Name,"has_First_Name(Mary Hemings Bell, ""Mary"").",36,37,0.3719548425430778,0.0,12,21,0.503968253968254,0.0
Mary Hemings,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Mary Hemings Bell, ""Common-law Husband"")",24,29,0.520933014354067,0.0,12,13,0.49970760233918127,0.0
Mary Hemings,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Mary Hemings Bell, ""Thomas Bell"").",31,32,0.536075036075036,0.0,14,16,0.5092243186582809,0.0
Mary Hemings,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Sex,"has_Sex(Mary Hemings Bell, ""Female"").",19,20,0.41313131313131307,0.0,14,16,0.5082582582582583,0.0
Mary Hemings,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Occupation,"has_Occupation(Mary Hemings Bell, ""Slave"").",21,22,0.5162210338680927,0.0,12,18,0.5165374677002584,0.0
Mary Hemings,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Age,"has_Age(Mary Hemings Bell, ""Not Mentioned"")",19,30,0.41313131313131307,0.0,20,18,0.5032299741602068,0.0
Mary Hemings,instance of,Person,2. has_BirthDate,"has_BirthDate(Mary Hemings Bell, ""1753"")",30,31,0.37121212121212127,0.0,13,14,0.5055555555555555,0.0
Mary Hemings,instance of,Person,3. has_DeathDate,"has_DeathDate(Mary Hemings Bell, ""Not Mentioned"").",30,31,0.45568181818181824,0.0,18,16,0.4988888888888889,0.0
Mary Hemings,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Mary Hemings Bell, ""Mixed Race"").",32,33,0.5040404040404041,0.0,14,15,0.5104575163398692,0.0
Mary Hemings,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Mary Hemings,instance of,Person,1. has_Person_Status,"has_Person_Status(Mary Hemings Bell, ""Enslaved Person, Free Person"")",19,27,0.5040404040404041,0.0,16,100,0.5849673202614379,0.5023287782256718
Mary Hemings,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Enslaved Person, ""Purchased and informally freed by Thomas Bell""), has_Status_Generating_Event(Free Person, ""Purchased and informally freed by Thomas Bell"")",24,25,0.4707070707070707,0.0,6,100,0.5664251207729468,0.23708718378440125
Mary Hemings,instance of,Person,3. recorded_At,"recorded_At(Enslaved Person, ""Purchased and informally freed by Thomas Bell""), recorded_At(Free Person, ""Purchased and informally freed by Thomas Bell"").",16,17,0.46645021645021645,0.0,8,100,0.5686274509803922,0.23708718378440125
Mary Hemings,hasName,Mary Hemings,Name Record Module,,32,32,0.5145502645502645,0.0,0,0,0.0,0.0
Mary Hemings,hasName,Mary Hemings,1. has_Name,"has_Name(Mary Hemings Bell, ""Mary Hemings Bell"")",78,82,0.8787878787878788,0.0,40,100,0.5833333333333334,0.6689625304957969
Mary Hemings,hasName,Mary Hemings,2. has_Surname,"has_Surname(Mary Hemings Bell, ""Bell"")",57,70,0.5476190476190476,0.0,48,100,0.6330409356725147,0.41036264495218466
Mary Hemings,hasName,Mary Hemings,3. has_First_Name,"has_First_Name(Mary Hemings Bell, ""Mary"").",58,61,0.5350140056022409,0.0,44,100,0.5952380952380952,0.7090528735856639
Mary Hemings,hasName,Mary Hemings,Interagent Relationship Record Module,,14,18,0.4765122265122265,0.0,0,0,0.0,0.0
Mary Hemings,hasName,Mary Hemings,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Mary Hemings Bell, ""Common-law Husband"")",22,27,0.5486215538847118,0.0,27,100,0.5526315789473685,0.41036264495218466
Mary Hemings,hasName,Mary Hemings,2. is_Relationship_To,"is_Relationship_To(Mary Hemings Bell, ""Thomas Bell"").",14,15,0.41269841269841273,0.0,37,100,0.5754716981132075,0.3799783615910079
Mary Hemings,hasName,Mary Hemings,Sex Record Module,,8,17,0.4005602240896358,0.0,0,0,0.0,0.0
Mary Hemings,hasName,Mary Hemings,1. has_Sex,"has_Sex(Mary Hemings Bell, ""Female"").",47,50,0.6571428571428571,0.0,49,100,0.6081081081081081,0.5023287782256719
Mary Hemings,hasName,Mary Hemings,Occupation Record Module,,13,19,0.45634920634920634,0.0,0,0,0.0,0.0
Mary Hemings,hasName,Mary Hemings,1. has_Occupation,"has_Occupation(Mary Hemings Bell, ""Slave"").",33,35,0.5350140056022409,0.0,44,100,0.5930232558139535,0.5023287782256718
Mary Hemings,hasName,Mary Hemings,Age Record Module,,8,25,0.4005602240896358,0.0,0,0,0.0,0.0
Mary Hemings,hasName,Mary Hemings,1. has_Age,"has_Age(Mary Hemings Bell, ""Not Mentioned"")",47,62,0.6571428571428571,0.0,44,100,0.5930232558139535,0.4494364165239822
Mary Hemings,hasName,Mary Hemings,2. has_BirthDate,"has_BirthDate(Mary Hemings Bell, ""1753"")",43,45,0.5386904761904762,0.0,46,100,0.6,0.5023287782256719
Mary Hemings,hasName,Mary Hemings,3. has_DeathDate,"has_DeathDate(Mary Hemings Bell, ""Not Mentioned"").",43,45,0.6089285714285715,0.0,39,100,0.58,0.4494364165239822
Mary Hemings,hasName,Mary Hemings,Race Record Module,,16,16,0.4656084656084656,0.0,0,0,0.0,0.0
Mary Hemings,hasName,Mary Hemings,1. has_Race_or_Color,"has_Race_or_Color(Mary Hemings Bell, ""Mixed Race"").",37,38,0.6547619047619048,0.0,38,100,0.5784313725490197,0.4494364165239822
Mary Hemings,hasName,Mary Hemings,Person Status Record Module,,18,18,0.4021164021164021,0.0,0,0,0.0,0.0
