TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Onesimus,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Name,"has_Name(Onesimus, ""Onesimus"")",27,29,0.404040404040404,0.0,17,26,0.4222222222222222,0.0
Onesimus,instance of,Person,2. has_First_Name,"has_First_Name(Onesimus, ""Onesimus"").",36,37,0.3719548425430778,0.0,14,28,0.5082582582582583,0.0
Onesimus,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Onesimus, ""Enslaved by"")",24,29,0.520933014354067,0.0,15,16,0.5055555555555555,0.0
Onesimus,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Onesimus, ""Cotton Mather"").",31,32,0.536075036075036,0.0,15,21,0.501207729468599,0.0
Onesimus,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Onesimus, ""Mitigated a smallpox outbreak"").",29,30,0.4239789196310935,0.0,11,15,0.5868055555555555,0.0
Onesimus,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Sex,"has_Sex(Onesimus, ""Male"").",19,20,0.41313131313131307,0.0,12,22,0.42735042735042733,0.0
Onesimus,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Occupation,"has_Occupation(Onesimus, ""Slave, Significant contributor to medical science"").",21,22,0.5162210338680927,0.0,10,10,0.40598290598290604,0.0
Onesimus,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Onesimus, ""African"").",32,33,0.5040404040404041,0.0,18,20,0.5205128205128206,0.0
Onesimus,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Onesimus,instance of,Person,1. has_Person_Status,"has_Person_Status(Onesimus, ""Enslaved Person, Recognized contributor to medical science"")",19,27,0.5040404040404041,0.0,13,100,0.5780274656679151,0.24395572500006343
