TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Patrick Francis Healy,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Name,"has_Name(Patrick Francis Healy, ""Patrick Francis Healy"")",27,29,0.404040404040404,0.0,13,17,0.5742063492063493,0.0
Patrick Francis Healy,instance of,Person,2. has_Surname,"has_Surname(Patrick Francis Healy, ""Healy"")",24,25,0.47056277056277057,0.0,12,15,0.5165374677002584,0.0
Patrick Francis Healy,instance of,Person,3. has_First_Name,"has_First_Name(Patrick Francis Healy, ""Patrick"").",36,37,0.3719548425430778,0.0,11,14,0.5117913832199547,0.0
Patrick Francis Healy,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,Note,No information provided in the text file.,27,40,0.5606060606060607,0.0,13,17,0.4132791327913279,0.0
Patrick Francis Healy,instance of,Person,Participant Role Record Module,,29,29,0.49797979797979797,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Participant_Role,"has_Participant_Role(Patrick Francis Healy, ""President of Georgetown University"").",29,30,0.4239789196310935,0.0,14,12,0.5799457994579945,0.0
Patrick Francis Healy,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Sex,"has_Sex(Patrick Francis Healy, ""Male"").",19,20,0.41313131313131307,0.0,13,10,0.5871794871794872,0.0
Patrick Francis Healy,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Occupation,"has_Occupation(Patrick Francis Healy, ""Catholic priest, Jesuit, educator, university president"").",21,22,0.5162210338680927,0.0,12,11,0.520618556701031,0.0
Patrick Francis Healy,instance of,Person,Age Record Module,,21,29,0.4496434937611408,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Age,"has_Age(Patrick Francis Healy, 75)",19,30,0.41313131313131307,0.0,15,11,0.5934640522875817,0.0
Patrick Francis Healy,instance of,Person,2. has_BirthDate,"has_BirthDate(Patrick Francis Healy, ""February 27, 1834"")",30,31,0.37121212121212127,0.0,10,10,0.5070175438596491,0.0
Patrick Francis Healy,instance of,Person,3. has_DeathDate,"has_DeathDate(Patrick Francis Healy, ""January 10, 1910"").",30,31,0.45568181818181824,0.0,13,11,0.5736842105263158,0.0
Patrick Francis Healy,instance of,Person,Race Record Module,,34,34,0.5774410774410774,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Race_or_Color,"has_Race_or_Color(Patrick Francis Healy, ""Biracial"").",32,33,0.5040404040404041,0.0,14,11,0.5932914046121592,0.0
Patrick Francis Healy,instance of,Person,Ethnolinguistic Descriptor Record Module,,31,31,0.569949494949495,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,Note,No information provided in the text file.,27,40,0.5606060606060607,0.0,13,17,0.4132791327913279,0.0
Patrick Francis Healy,instance of,Person,Person Status Record Module,,32,21,0.5495230078563412,0.0,0,0,0.0,0.0
Patrick Francis Healy,instance of,Person,1. has_Person_Status,"has_Person_Status(Patrick Francis Healy, ""Owned by father, President of Georgetown University"")",19,27,0.5040404040404041,0.0,12,12,0.5766081871345029,0.0
Patrick Francis Healy,instance of,Person,2. has_Status_Generating_Event,"has_Status_Generating_Event(Owned by father, ""Sent north for education""), has_Status_Generating_Event(President of Georgetown University, ""Election as president of Georgetown University"").",24,25,0.4707070707070707,0.0,6,8,0.4866430260047281,0.0
Patrick Francis Healy,hasSex,Male,Name Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Name,"has_Name(Patrick Francis Healy, ""Patrick Francis Healy"")",47,50,0.5909090909090909,0.0,10,18,0.4900793650793651,0.0
Patrick Francis Healy,hasSex,Male,2. has_Surname,"has_Surname(Patrick Francis Healy, ""Healy"")",50,53,0.6507936507936508,0.0,13,16,0.5155038759689923,0.0
Patrick Francis Healy,hasSex,Male,3. has_First_Name,"has_First_Name(Patrick Francis Healy, ""Patrick"").",35,45,0.5588235294117647,0.0,8,15,0.5136054421768708,0.0
Patrick Francis Healy,hasSex,Male,Interagent Relationship Record Module,,14,9,0.41591591591591587,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,Note,No information provided in the text file.,20,20,0.47222222222222215,0.0,13,14,0.516260162601626,0.0
Patrick Francis Healy,hasSex,Male,Participant Role Record Module,,11,11,0.4666666666666666,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Participant_Role,"has_Participant_Role(Patrick Francis Healy, ""President of Georgetown University"").",28,29,0.5434782608695653,0.0,7,7,0.5955284552845529,0.0
Patrick Francis Healy,hasSex,Male,Sex Record Module,,26,26,0.5588235294117647,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Sex,"has_Sex(Patrick Francis Healy, ""Male"").",75,80,0.8666666666666667,0.0,19,100,0.5170940170940171,0.33517574332792605
Patrick Francis Healy,hasSex,Male,Occupation Record Module,,13,13,0.47222222222222215,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Occupation,"has_Occupation(Patrick Francis Healy, ""Catholic priest, Jesuit, educator, university president"").",26,27,0.5588235294117647,0.0,6,6,0.4825315005727377,0.0
Patrick Francis Healy,hasSex,Male,Age Record Module,,9,17,0.40849673202614384,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Age,"has_Age(Patrick Francis Healy, 75)",50,53,0.6,0.0,11,11,0.5196078431372549,0.0
Patrick Francis Healy,hasSex,Male,2. has_BirthDate,"has_BirthDate(Patrick Francis Healy, ""February 27, 1834"")",36,38,0.5625,0.0,10,7,0.5116959064327485,0.0
Patrick Francis Healy,hasSex,Male,3. has_DeathDate,"has_DeathDate(Patrick Francis Healy, ""January 10, 1910"").",36,38,0.6388888888888888,0.0,7,7,0.5116959064327485,0.0
Patrick Francis Healy,hasSex,Male,Race Record Module,,17,17,0.48148148148148145,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Race_or_Color,"has_Race_or_Color(Patrick Francis Healy, ""Biracial"").",31,32,0.6222222222222222,0.0,11,12,0.49109014675052415,0.0
Patrick Francis Healy,hasSex,Male,Ethnolinguistic Descriptor Record Module,,13,13,0.525,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,Note,No information provided in the text file.,20,20,0.47222222222222215,0.0,13,14,0.516260162601626,0.0
Patrick Francis Healy,hasSex,Male,Person Status Record Module,,18,12,0.5216049382716049,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasSex,Male,1. has_Person_Status,"has_Person_Status(Patrick Francis Healy, ""Owned by father, President of Georgetown University"")",31,32,0.6222222222222222,0.0,6,6,0.48274853801169587,0.0
Patrick Francis Healy,hasSex,Male,2. has_Status_Generating_Event,"has_Status_Generating_Event(Owned by father, ""Sent north for education""), has_Status_Generating_Event(President of Georgetown University, ""Election as president of Georgetown University"").",28,29,0.6666666666666666,0.0,3,5,0.5035460992907801,0.0
Patrick Francis Healy,hasParticipantRole,Child,Name Record Module,,28,22,0.5,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasParticipantRole,Child,1. has_Name,"has_Name(Patrick Francis Healy, ""Patrick Francis Healy"")",34,36,0.5774410774410774,0.0,10,17,0.5511904761904761,0.0
Patrick Francis Healy,hasParticipantRole,Child,2. has_Surname,"has_Surname(Patrick Francis Healy, ""Healy"")",38,39,0.582010582010582,0.0,12,16,0.4821705426356589,0.0
Patrick Francis Healy,hasParticipantRole,Child,3. has_First_Name,"has_First_Name(Patrick Francis Healy, ""Patrick"").",40,41,0.596677559912854,0.0,11,20,0.4802721088435374,0.0
Patrick Francis Healy,hasParticipantRole,Child,Interagent Relationship Record Module,,36,25,0.5758615758615758,0.0,0,0,0.0,0.0
Patrick Francis Healy,hasParticipantRole,Child,Note,No information provided in the text file.,18,27,0.4351851851851852,0.0,13,13,0.48292682926829267,0.0
Patrick Francis Healy,hasParticipantRole,Child,Participant Role Record Module,,62,62,0.688888888888889,0.0,0,0,0.0,0.0
