TSV Subject,TSV Predicate,TSV Value,TXT Predicate,TXT Value,Predicate FuzzyWuzzy Ratio,Predicate FuzzyWuzzy Token Set Ratio,Predicate Jaro-Winkler Similarity,Predicate Cosine Similarity,Value FuzzyWuzzy Ratio,Value FuzzyWuzzy Token Set Ratio,Value Jaro-Winkler Similarity,Value Cosine Similarity
Mamout Yarrow,instance of,Person,Name Record Module,,28,34,0.5107744107744108,0.0,0,0,0.0,0.0
Mamout Yarrow,instance of,Person,1. has_Name,"has_Name(Yarrow Mamout, ""Yarrow Mamout"")",27,29,0.404040404040404,0.0,13,21,0.5055555555555555,0.0
Mamout Yarrow,instance of,Person,2. has_Surname,"has_Surname(Yarrow Mamout, ""Mamout"")",24,25,0.47056277056277057,0.0,14,19,0.5240740740740741,0.0
Mamout Yarrow,instance of,Person,3. has_First_Name,"has_First_Name(Yarrow Mamout, ""Yarrow"").",36,37,0.3719548425430778,0.0,13,18,0.5055555555555555,0.0
Mamout Yarrow,instance of,Person,Interagent Relationship Record Module,,29,33,0.5389935389935391,0.0,0,0,0.0,0.0
Mamout Yarrow,instance of,Person,1. has_Interagent_Relationship_Type_To,"has_Interagent_Relationship_Type_To(Yarrow Mamout, ""Enslaver or Owner"")",24,29,0.520933014354067,0.0,13,14,0.5012519561815337,0.0
Mamout Yarrow,instance of,Person,2. is_Relationship_To,"is_Relationship_To(Yarrow Mamout, ""Samuel Beall""), is_Relationship_To(Yarrow Mamout, ""Brooke"").",31,32,0.536075036075036,0.0,10,17,0.49532163742690055,0.0
Mamout Yarrow,instance of,Person,Sex Record Module,,21,21,0.4496434937611408,0.0,0,0,0.0,0.0
Mamout Yarrow,instance of,Person,1. has_Sex,"has_Sex(Yarrow Mamout, ""Male"").",19,20,0.41313131313131307,0.0,16,19,0.5152329749103942,0.0
Mamout Yarrow,instance of,Person,Occupation Record Module,,29,23,0.5618686868686869,0.0,0,0,0.0,0.0
Mamout Yarrow,instance of,Person,1. has_Occupation,"has_Occupation(Yarrow Mamout, ""Slave, Entrepreneur, Property Owner"").",21,22,0.5162210338680927,0.0,11,18,0.40821256038647347,0.0
